product_id,likelihood_to_recommend,number_of_reviews
B00NMLGQJI,100.0,1
B08W2B13DS,100.0,1
B018HOAVDG,100.0,1
B08FRK5GNY,100.0,1
B01G9O7CIS,100.0,1
B016021T1U,100.0,1
B08D71G1ZG,100.0,1
B08T89P446,100.0,1
B08MK9LHBP,100.0,1
B00V44KV14,100.0,1
B083RGKTCD,100.0,1
B019C5KXFA,100.0,1
B003P4XDP2,100.0,1
B09MH9LM9L,100.0,1
B00AM4IVDC,100.0,1
B001PKJDCA,100.0,1
B01IUTD6LW,100.0,1
B07CV9QMBL,100.0,1
B06W5JLJ51,100.0,1
B01JEH9ZGO,100.0,1
B01N7S0D33,100.0,1
B06XXT4F94,100.0,1
B00X7XMML2,100.0,1
B08GL1V6M2,100.0,1
B06XHDBYNY,100.0,1
B07S2T2LL8,100.0,1
B074YMRTHL,100.0,1
B0015MJE22,100.0,1
B004R65A8U,100.0,1
B01CQJTR4M,100.0,1
B07DVN4DR8,100.0,1
B08GQQQZW2,100.0,1
B00VS91SOE,100.0,1
B00T0DFGNY,100.0,1
B07BKBL4TW,100.0,1
B00021E2DI,100.0,1
B07X2BJPPB,100.0,1
B00IAXXDP8,100.0,1
B01BIVQ7A6,100.0,1
B00BG9KWCK,100.0,1
B017HUC2JM,100.0,1
B004Z2NS4E,100.0,1
B00IQ8R80S,100.0,1
B01FT4ADEE,100.0,1
B07BJD7R79,100.0,1
B00M30HQ6Q,100.0,1
B016EZOGFY,100.0,1
B007OK6ASK,100.0,1
B089JYBWTG,100.0,1
B01N1ZKH2W,100.0,1
B077NGLZVJ,100.0,1
B01C9CTHA0,100.0,1
B01LF8FVQS,100.0,1
B07BYG899T,100.0,1
B07M5LJSS1,100.0,1
B01CJRCFFO,100.0,1
B07QV5WVS6,100.0,1
B00GBM0VIM,100.0,1
B00MOCZWVY,100.0,1
B01LHDB5ZW,100.0,1
B083VYS8YH,100.0,1
B00D3OX3EU,100.0,1
B01FSEMG4A,100.0,1
B074F2QKKM,100.0,1
B07ZGMNLVW,100.0,1
B07C7BC9Y1,100.0,1
B00JULTRGS,100.0,1
B012S8LLJA,100.0,1
B075RGPZ39,100.0,1
B00A8O04VI,100.0,1
B088WHV3CQ,100.0,1
B00KAUPDD4,100.0,1
B0B752MBK6,100.0,1
B07H33XCFB,100.0,1
B0062A70FU,100.0,1
B06WLPJQR7,100.0,1
B01GFCUBC8,100.0,1
B001V9MLFG,100.0,1
B07BDHHYW2,100.0,1
B07RD7YLYF,100.0,1
B00BL4RIW2,100.0,1
B003ITS462,100.0,1
B00DUGZEIY,100.0,1
B01HOV1FCO,100.0,1
B01N9EU0EH,100.0,1
B01BAZLJ08,100.0,1
B08FCKVDMP,100.0,1
B01KCJG4DK,100.0,1
B09HFPGGMQ,100.0,1
B01FTTC1WG,100.0,1
B076D2KLYX,100.0,1
B07PS1N4HH,100.0,1
B00L8DXTQA,100.0,1
B008CTWN10,100.0,1
B01341A074,100.0,1
B01I5KKJNY,100.0,1
B001J4SX3C,100.0,1
B0002IHDYG,100.0,1
B07YBW27H3,100.0,1
B0014Z0OI8,100.0,1
B09H2TDGB3,100.0,1
B016SQT6YU,100.0,1
B01M8QG1W0,100.0,1
B07C28RYBW,100.0,1
B000QDPSHG,100.0,1
B07Q74XMGN,100.0,1
B01IRUCE1C,100.0,1
B000WQDN88,100.0,1
B01CSI10KU,100.0,1
B0B5X7RX9M,100.0,1
B01MY7WIHL,100.0,1
B079C14CSC,100.0,1
B00OBRHGXM,100.0,1
B014LMX4C8,100.0,1
B00NS37FLS,100.0,1
B009GAWIW8,100.0,1
B01H15B1R2,100.0,1
B00L4GFQPI,100.0,1
B08PPJGB8L,100.0,1
B07DJ9K4J7,100.0,1
B01M5AZKUA,100.0,1
B015LERJHG,100.0,1
B073MV4M4Z,100.0,1
B00VEDK7IW,100.0,1
B077FNC16Y,100.0,1
B08PBW33N1,100.0,1
B07CK5ZH2D,100.0,1
B01G8KMEVS,100.0,1
B07FRS6KJM,100.0,1
B01N5TT7X8,100.0,1
B016VJG8PO,100.0,1
B07555TCR6,100.0,1
B075RCB9FL,100.0,1
B01N6DA0S2,100.0,1
B01C900B7K,100.0,1
B00JEFNSJ2,100.0,1
B01FRBWYIM,100.0,1
B00LQDFOEM,100.0,1
B0793JH6MB,100.0,1
B0B6TH3X35,100.0,1
B001459XIA,100.0,1
B00J3ALWUU,100.0,1
B06XP5CF49,100.0,1
B00KPBU496,100.0,1
B07K2XHVHN,100.0,1
B016ZCPM6I,100.0,1
B076TCTRCJ,100.0,1
B0773QXFH3,100.0,1
B07R8XPWYQ,100.0,1
B07BBYPVBN,100.0,1
B01MU9XI0A,100.0,1
B009US27CW,100.0,1
B0015OGRVQ,100.0,1
B072MKTD7F,100.0,1
B075R82M7S,100.0,1
B003B0A5T2,100.0,1
B01BUF4G1M,100.0,1
B08HC95P66,100.0,1
B00JE5WOVA,100.0,1
B00TFN6FYI,100.0,1
B07BGHBD29,100.0,1
B006JG6G52,100.0,1
B01G8UNWUK,100.0,1
B09SD7H2HF,100.0,1
B00QRCR07Q,100.0,1
B071W4JY6P,100.0,1
B00FIA0X5Y,100.0,1
B08SCCH6B8,100.0,1
B00GOXHJ92,100.0,1
B00VZOZ9RE,100.0,1
B00DJ2PYJ8,100.0,1
B078JS5G99,100.0,1
B01KH0HK78,100.0,1
B01L9GHN26,100.0,1
B01M0NWF5R,100.0,1
B002R0FA10,100.0,1
B06XRPK83F,100.0,1
B00BECF9F4,100.0,1
B01BI4G7Y4,100.0,1
B015SCYASW,100.0,1
B07T2ZLPTX,100.0,1
B06Y592MKW,100.0,1
B079W3K7Y9,100.0,1
B07N34NKJX,100.0,1
B019OZ5NB2,100.0,1
B09SSX3VM5,100.0,1
B07G7YS69W,100.0,1
B01AY42P36,100.0,1
B00WTH4EMW,100.0,1
B00IPWOEJI,100.0,1
B00I99Q1TS,100.0,1
B011R9C14U,100.0,1
B08CVH8ZGK,100.0,1
B00GKTRFS0,100.0,1
B003BG7RMO,100.0,1
B0827LW76Z,100.0,1
B006NYJ6N4,100.0,1
B09SB1NH6B,100.0,1
B07G7DFGBR,100.0,1
B099S4J9PW,100.0,1
B00BP1DA1Y,100.0,1
B07Y27G53L,100.0,1
B071YT4YL4,100.0,1
B07N8JFPPV,100.0,1
B07DV5YSQY,100.0,1
B079TZZM5V,100.0,1
B08SHNPWY9,100.0,1
B07K2YKGWB,100.0,1
B082F1KSCH,100.0,1
B08HFJ9HP2,100.0,1
B08C24MT38,100.0,1
B06XP4N4YN,100.0,1
B01N4OYS3M,100.0,1
B01H9XLHJS,100.0,1
B0002E5162,100.0,1
B016H0INAA,100.0,1
B08TGKPRG4,100.0,1
B00VWKQV1Y,100.0,1
B08HS9JBJ9,100.0,1
B01GI2F2SI,100.0,1
B07W14QJT8,100.0,1
B083ZKMCYJ,100.0,1
B01GOZVMP6,100.0,1
B0988YCGHY,100.0,1
B000F54O7K,100.0,1
B00L1OOMF8,100.0,1
B071YWKSJB,100.0,1
B071S5LDRT,100.0,1
B00LCG3U94,100.0,1
B08K2TZ9ZP,100.0,1
B08VVYKY78,100.0,1
B007QXLB2K,100.0,1
B01IMPQWJW,100.0,1
B01N5EVTUA,100.0,1
B07KM2SV11,100.0,1
B01MSPJNVL,100.0,1
B00GDYXFLI,100.0,1
B074V513QS,100.0,1
B0865L9MCK,100.0,1
B077J145B9,100.0,1
B01N034166,100.0,1
B00A6W8QE4,100.0,1
B0022BBSC4,100.0,1
B000EEHDPC,100.0,1
B018IX4U60,100.0,1
B0762K1331,100.0,1
B016X4H72K,100.0,1
B08385KLN6,100.0,1
B00GMPZA98,100.0,1
B00U1PFOF0,100.0,1
B01JW6FHXW,100.0,1
B01D4PEVBG,100.0,1
B00CFS5P6Y,100.0,1
B00FRA4BB2,100.0,1
B01M6WHL8G,100.0,1
B0713WWTQ4,100.0,1
B000P63ZVK,100.0,1
B07G4J4QH1,100.0,1
B075Q5C41K,100.0,1
B00ECV5HM4,100.0,1
B008E4AZCM,100.0,1
B008SP3H0O,100.0,1
B07R8QVG9P,100.0,1
B01AVEEPVE,100.0,1
B08PP6MGB7,100.0,1
B07DLS3Z7Q,100.0,1
B008OKDMVC,100.0,1
B07BGT8S2H,100.0,1
B0733T7K4H,100.0,1
B08BZHW7PY,100.0,1
B087RLW785,100.0,1
B07CSWM65G,100.0,1
B07PHV57VZ,100.0,1
B08RRLRB76,100.0,1
B074CJT7QQ,100.0,1
B00OG187HC,100.0,1
B06XXJMWM7,100.0,1
B000E1TJDE,100.0,1
B0002F5BG6,100.0,1
B004XL3PKY,100.0,1
B00PIOK3T6,100.0,1
B01IE07258,100.0,1
B07ZMYBN2G,100.0,1
B0010CHS8E,100.0,1
B00AAGQ56W,100.0,1
B00KFXCN2K,100.0,1
B01MRJPXQF,100.0,1
B088689TSM,100.0,1
B07PRL95V5,100.0,1
B00AYBKJFG,100.0,1
B06XDYNS9C,100.0,1
B07CHVXP5H,100.0,1
B08C78LZ55,100.0,1
B08763MGCJ,100.0,1
B06XXY2TLN,100.0,1
B00355CHPI,100.0,1
B00M3KV5X6,100.0,1
B00ZW2O0MA,100.0,1
B06XZFCDGJ,100.0,1
B08JTXYX4J,100.0,1
B0719QKWG7,100.0,1
B078NMVN3F,100.0,1
B06XD2FZDS,100.0,1
B00AYBLK9K,100.0,1
B073DK9BPR,100.0,1
B07QC21M18,100.0,1
B07T6GBCMQ,100.0,1
B0744DPNLW,100.0,1
B00ENLB5BU,100.0,1
B007X0ILXS,100.0,1
B077SLL13N,100.0,1
B01EJXJQZS,100.0,1
B08G81Z82H,100.0,1
B01IEDP91Y,100.0,1
B07VPR9H69,100.0,1
B00UI93FG4,100.0,1
B07D7HL4LD,100.0,1
B07Q2FHQS3,100.0,1
B0055OIXTG,100.0,1
B06XR1M432,100.0,1
B00GC57Z6O,100.0,1
B004UOE3JQ,100.0,1
B06WLR5WM7,100.0,1
B0052SL5O0,100.0,1
B0B7J8RRSH,100.0,1
B07MRW611K,100.0,1
B07W6QDD29,100.0,1
B0759L2PWH,100.0,1
B074BBJX78,100.0,1
B083SC1DQB,100.0,1
B0764BDZ1B,100.0,1
B07JFGVMQC,100.0,1
B00DR61QS4,100.0,1
B07BW3Z2CX,100.0,1
B00W4SBMXK,100.0,1
B01BGEOE4Q,100.0,1
B004XLDY14,100.0,1
B0BR8MP3CJ,100.0,1
B010OLKTUA,100.0,1
B01G3GQVXO,100.0,1
B075WPLKLK,100.0,1
B00KASB62S,100.0,1
B07XZNZ8N1,100.0,1
B01APC390A,100.0,1
B08DRD3FFC,100.0,1
B01IPOL2YU,100.0,1
B01MSUSKRC,100.0,1
B00CFSDRGO,100.0,1
B01BEQ0R2E,100.0,1
B073R5KSJP,100.0,1
B01IAI1BYW,100.0,1
B00PGZF040,100.0,1
B0716RCRGZ,100.0,1
B010CXND4O,100.0,1
B077TBSVK8,100.0,1
B06XRFJ1MB,100.0,1
B07G8XMJCN,100.0,1
B07D263YRQ,100.0,1
B089DNNT2F,100.0,1
B095BWYQ2Z,100.0,1
B00P6Y0E3I,100.0,1
B00YXP43LU,100.0,1
B01FVYCRO6,100.0,1
B01N78OLUT,100.0,1
B01MQGVRXT,100.0,1
B01KG9FG4Y,100.0,1
B08592R7F2,100.0,1
B081GG8PQX,100.0,1
B078BGXX9M,100.0,1
B08R3J6XZG,100.0,1
B08SKSTFQ6,100.0,1
B07JP8P28V,100.0,1
B01G39YDEA,100.0,1
B00SMYGCNU,100.0,1
B077192KBW,100.0,1
B01HV4GIV2,100.0,1
B01AIRD3GM,100.0,1
B001L0MUOM,100.0,1
B07Y6XXQZ2,100.0,1
B00JGZNL4W,100.0,1
B07KNCKPLM,100.0,1
B01AO6MFRK,100.0,1
B07G74LQ63,100.0,1
B072KGHCVV,100.0,1
B01CFVQTTW,100.0,1
B00AUDA0HA,100.0,1
B01D3RH9SW,100.0,1
B07G3HT7FN,100.0,1
B00870ENN0,100.0,1
B004H1KETA,100.0,1
B00X146JJI,100.0,1
B00K11VI7W,100.0,1
B08CBMF8NB,100.0,1
B07BN8ZMLJ,100.0,1
B07BBLL385,100.0,1
B00H30CCSI,100.0,1
B00RBIYHBW,100.0,1
B00BX4E5Y4,100.0,1
B07QVYWX12,100.0,1
B077XZVHNM,100.0,1
B00KW4KR66,100.0,1
B097DDBHD8,100.0,1
B00OCAA3T2,100.0,1
B00LD84H34,100.0,1
B08H1PKTGD,100.0,1
B0757G9M1S,100.0,1
B07NSPF9V7,100.0,1
B016ISJS9G,100.0,1
B0B352BPYN,100.0,1
B075RZC7HL,100.0,1
B01AAZUHAC,100.0,1
B00KGIBUF0,100.0,1
B09YDCZMJX,100.0,1
B08B3G9ML7,100.0,1
B004LTUQCS,100.0,1
B00VQ4KMKM,100.0,1
B07L8Z3WCL,100.0,1
B07L244HT1,100.0,1
B08SVYZ99B,100.0,1
B000XNQCYM,100.0,1
B000AS9ACG,100.0,1
B01BAJ0KJ0,100.0,1
B07R9ZTHJR,100.0,1
B0009RO11I,100.0,1
B09F9YF2RW,100.0,1
B07XXXCV2X,100.0,1
B07RD4J1L6,100.0,1
B00IZFR2O4,100.0,1
B005SUU4AS,100.0,1
B00N0VVFKA,100.0,1
B009ZXACA6,100.0,1
B01M34RDH7,100.0,1
B00UBUW7D2,100.0,1
B077C7HY68,100.0,1
B078WLKT9X,100.0,1
B00R6KGMIG,100.0,1
B00BKNYCAU,100.0,1
B00K5S0LH4,100.0,1
B00HWHCOQM,100.0,1
B01LXTPSFD,100.0,1
B01ESOQY8A,100.0,1
B08Y5MQLNK,100.0,1
B00SMNURNM,100.0,1
B08LGHHN6H,100.0,1
B00QFMT3I2,100.0,1
B075CVRKN9,100.0,1
B08CXCHYTT,100.0,1
B01M6873FG,100.0,1
B078TB7LT1,100.0,1
B08GXVV2GM,100.0,1
B076JKCRKB,100.0,1
B01N64FZ1D,100.0,1
B07CXHQ34J,100.0,1
B089KJWBC5,100.0,1
B01N7Y6GY0,100.0,1
B07TFKDSXJ,100.0,1
B08FX2FH61,100.0,1
B08SBQDKSJ,100.0,1
B00HX9EZ66,100.0,1
B00EIPHQQO,100.0,1
B01FL1552K,100.0,1
B0016BP91M,100.0,1
B00VENIDCO,100.0,1
B00OET2J7K,100.0,1
B005FFK5JQ,100.0,1
B003BQMO7M,100.0,1
B0002F787G,100.0,1
B01GJC0SNQ,100.0,1
B08BBF5KY5,100.0,1
B07P25Y32K,100.0,1
B00Q8JSY8M,100.0,1
B086GL3TD7,100.0,1
B07G3J61Q4,100.0,1
B01IAI6KI4,100.0,1
B017XD9GP6,100.0,1
B07FPBK3F2,100.0,1
B07TJ6T27L,100.0,1
B0019QI62S,100.0,1
B013JBRLD0,100.0,1
B083FG22RD,100.0,1
B0017TLBCO,100.0,1
B00JWG45GI,100.0,1
B01G2KH9RS,100.0,1
B01H0O9EJQ,100.0,1
B084VH9HG3,100.0,1
B08CBRK8LK,100.0,1
B08ZJ9FWKX,100.0,1
B010NBID0Y,100.0,1
B00P9TGU8I,100.0,1
B07KBXYJJZ,100.0,1
B071LF9YL4,100.0,1
B013QC89NI,100.0,1
B00XJ2XJGI,100.0,1
B01IAEX3DI,100.0,1
B01AIQMI78,100.0,1
B0015P4IRA,100.0,1
B00ZAK90WO,100.0,1
B09NJBVTL9,100.0,1
B0145ZTHOA,100.0,1
B08PBYBH5M,100.0,1
B009SDDYDA,100.0,1
B01N7N156E,100.0,1
B07S878NJ4,100.0,1
B014PTLZ8W,100.0,1
B08H2H6MSJ,100.0,1
B072JWY4QL,100.0,1
B08B5DTZHD,100.0,1
B01JPQEW8A,100.0,1
B01G52EBRE,100.0,1
B015ZGTYKA,100.0,1
B01H4H7IPQ,100.0,1
B01KCJCJFW,100.0,1
B00FRM0N4E,100.0,2
B00RGWQF5Y,100.0,1
B012UE3I02,100.0,1
B00HG4A1ZW,100.0,1
B015JWFXP0,100.0,1
B00SW7NFIW,100.0,1
B07KWMCF1Q,100.0,1
B00JG6H5CU,100.0,1
B08G4GTX9M,100.0,1
B00PSL85YY,100.0,1
B076ZNH38K,100.0,1
B01D94NP9Q,100.0,1
B01CWVJ622,100.0,1
B00DMWQOYY,100.0,1
B01JIVNPYE,100.0,1
B000FJ1NWA,100.0,1
B0141GV51G,100.0,1
B00KDUCDZW,100.0,1
B01AE5EGSM,100.0,1
B01IEZ8IWO,100.0,1
B01CZN1LXY,100.0,1
B015F1DGHC,100.0,1
B00JFU064Q,100.0,1
B08PNZ5WSV,100.0,1
B008V8OUI6,100.0,1
B07WJJBRNG,100.0,1
B0002H0D58,100.0,1
B08GW1X6BK,100.0,1
B08R5Z1W5J,100.0,1
B08DJYS3T4,100.0,1
B012C1WB3S,100.0,1
B01IEUGHQS,100.0,1
B01KJ3JX0A,100.0,1
B08CDKVH21,100.0,1
B01J8AXVTE,100.0,2
B01M0IZF8U,100.0,1
B085HGF8P2,100.0,1
B0035LBOK6,100.0,1
B01MZ2ZC1A,100.0,1
B08F9NLXLV,100.0,1
B016PANZLO,100.0,1
B08B3KF8GN,100.0,1
B00NV60M76,100.0,1
B00GN4UOGW,100.0,1
B0725Z8M8F,100.0,1
B00KD3AMAC,100.0,1
B01H1QCLFW,100.0,1
B00120THII,100.0,1
B0746H43YT,100.0,1
B01MAYT32N,100.0,2
B09LLR47SQ,100.0,1
B07X2D24K2,100.0,1
B00WGX6FQM,100.0,1
B089NKH2Z3,100.0,1
B00KT1QGS0,100.0,1
B07MDXB4P2,100.0,1
B0719DH4YJ,100.0,1
B07QN5GL79,100.0,1
B0894D6XNQ,100.0,1
B07FZW48YC,100.0,1
B01MTF1FR3,100.0,1
B07W4QK49C,100.0,1
B086Z6WXGK,100.0,1
B006FHMTJW,100.0,1
B073TSX82C,100.0,1
B017RVPIQA,100.0,1
B0774MQSD2,100.0,1
B007R0QLUY,100.0,1
B07XQ95NST,100.0,1
B07BQN598L,100.0,1
B088YYKYVZ,100.0,1
B08FLKFCYC,100.0,1
B002GYWBKK,100.0,1
B016BNUB1W,100.0,1
B074S9GC8Q,100.0,1
B00OLMCLLE,100.0,1
B07BPQTH5R,100.0,1
B0031KGH7Q,100.0,1
B017BQ2EVI,100.0,1
B0BT8S1671,100.0,1
B074PNXD57,100.0,1
B08662HDKK,100.0,1
B06XK9QVHY,100.0,1
B07T5XBFPH,100.0,1
B01BK4R6EW,100.0,1
B009NQTTZO,100.0,1
B01LXFIHSG,100.0,1
B0006VP84Q,100.0,1
B000FP3PLG,100.0,1
B08FWVG634,100.0,1
B077FGBFQD,100.0,1
B071ZH6MT8,100.0,1
B094PV1GGH,100.0,1
B014AU2L20,100.0,1
B074FWC5G7,100.0,1
B00JZ1UG0Y,100.0,1
B00HF6VSCQ,100.0,1
B00S07H2SI,100.0,1
B078W45CMB,100.0,1
B087GTNRPX,100.0,1
B07KG64BBT,100.0,1
B01J2CW0UE,100.0,1
B07R4RWHCF,100.0,1
B00PVCCS70,100.0,1
B08DS6LVY2,100.0,1
B07S5RYCR3,100.0,1
B07SGR5BTT,100.0,1
B01FHJLE6M,100.0,1
B01C7JB866,100.0,1
B07CP7DRMF,100.0,1
B00SM7LKMK,100.0,1
B00I4IOBUA,100.0,1
B079SHC4B2,100.0,1
B0042NQRI0,100.0,1
B01K1JI9AW,100.0,1
B00KKD0W4G,100.0,1
B0014C97KW,100.0,1
B07CV8ZJ5X,100.0,1
B01KONXX0G,100.0,1
B01M0J3S8C,100.0,1
B07RKPCV5L,100.0,1
B07MR557TQ,100.0,1
B09XKBH6YM,100.0,1
B00CIRZ0B2,100.0,1
B009IDTQZU,100.0,1
B07G51Q4MP,100.0,1
B00GAYMM38,100.0,1
B017UHBNGA,100.0,1
B072V8JHMZ,100.0,1
B00M3BQWZG,100.0,1
B08K74JDZN,100.0,1
B00HNHX2L2,100.0,1
B09PZV6JG4,100.0,1
B07W2Z94CJ,100.0,1
B08CVPTVYD,100.0,1
B087SM2M85,100.0,1
B00GS9GJ3O,100.0,1
B0819JY2ZK,100.0,1
B0755QTCNG,100.0,1
B079GT49HG,100.0,1
B07NR6ZZXP,100.0,1
B081SSMG95,100.0,1
B0727NRTDV,100.0,1
B07PWY9F94,100.0,1
B00KHYHOSK,100.0,1
B00MMP3EZO,100.0,1
B01FQR5RZE,100.0,1
B07RN34FXS,100.0,1
B01CQOQKX8,100.0,1
B009LO4052,100.0,1
B086XF5FRL,100.0,1
B09MLTGSTK,100.0,1
B00SKLJDKO,100.0,1
B01EG4P07I,100.0,1
B000EEHJNS,100.0,1
B081NGYJJ2,100.0,1
B01M7X404E,100.0,1
B078QPKDNP,100.0,1
B08N49GYYT,100.0,1
B07CSB5KGD,100.0,1
B0007XBNSI,100.0,2
B081PQTL9P,100.0,1
B07X9ZH6TM,100.0,1
B00KSMYQDM,100.0,1
B003UT1Q1A,100.0,1
B00XUITX70,100.0,1
B0778GB3L7,100.0,1
B01DV0C4AY,100.0,1
B0095Y3DK6,100.0,1
B087JR8W97,100.0,1
B00MU2WHFM,100.0,1
B0001DBZNM,100.0,1
B00MH4EV70,100.0,1
B07PWWVHR8,100.0,1
B00CVUROSI,100.0,1
B01LYU0J1B,100.0,1
B07DLR23YM,100.0,1
B01GGCO42A,100.0,1
B01FD6Q91O,100.0,1
B0BCQ3RPQ7,100.0,1
B07CH3CXQ3,100.0,1
B084QFZB12,100.0,1
B01D5KS6C0,100.0,1
B00Q3CHVWE,100.0,1
B009QBVTIG,100.0,1
B07Z2SFS1K,100.0,1
B07FFTQDVK,100.0,1
B000EEHM76,100.0,1
B001MX3S7G,100.0,1
B07H9736P4,100.0,1
B00GYNA0SE,100.0,1
B015U1SSDO,100.0,1
B0871VJCL2,100.0,1
B012B4XSKG,100.0,1
B08FVHJ1ZJ,100.0,1
B00IVO8478,100.0,1
B01AIU93V8,100.0,1
B07Q7TRPMN,100.0,1
B002NURFO4,100.0,1
B073XYFQ7L,100.0,1
B018UOYZ4E,100.0,1
B07FDSD9NS,100.0,1
B01KVW2ZKE,100.0,1
B07QVKF3C1,100.0,1
B014Q6DK8C,100.0,1
B01EBH0YEO,100.0,1
B00KT12FGW,100.0,1
B081T4J8CC,100.0,1
B013MLHN3A,100.0,1
B01KARUGP6,100.0,1
B07FR697YB,100.0,1
B0BR9HS7Z5,100.0,1
B00MA8UB0Y,100.0,1
B00BL0EEVY,100.0,1
B008UPI4GO,100.0,1
B0026JGG4W,100.0,1
B071RCQMRY,100.0,1
B01IKROLU4,100.0,1
B07SYWQZY8,100.0,1
B00X9ITJ7A,100.0,1
B091F7Z75T,100.0,1
B07ZXRDBM4,100.0,1
B06VY1F4R1,100.0,1
B07CYTZ6Y9,100.0,1
B077JKCGNB,100.0,1
B08HXRPJHK,100.0,1
B081FKT7CB,100.0,1
B094NNQKBB,100.0,1
B07TJX5BT5,100.0,1
B011HMTY4W,100.0,1
B0732P4M41,100.0,2
B075YGCNBV,100.0,1
B00VJDFWM8,100.0,1
B07S48HVWB,100.0,1
B072FHDL1M,100.0,1
B005OZJQDI,100.0,1
B00O35KSWS,100.0,1
B00KWGRNZC,100.0,1
B01NAG3QZI,100.0,1
B07XTS79BW,100.0,1
B07B1LH7X1,100.0,1
B00XYLAZAW,100.0,1
B07VS1CT38,100.0,1
B01GIKNYKI,100.0,1
B005GX8BOI,100.0,1
B01MG7IUNB,100.0,1
B089F1XX41,100.0,1
B07GVJ4Q14,100.0,1
B07JPK1HXM,100.0,1
B00WCZIWPG,100.0,1
B01MU9HQBW,100.0,1
B003R9ZC1S,100.0,1
B07BD2ZDP9,100.0,1
B00E35DXZC,100.0,1
B08H8TNFVS,100.0,1
B07S472ND4,100.0,1
B01FA14PP4,100.0,1
B08F9G1DPM,100.0,1
B002B55RZU,100.0,1
B0046E8KK8,100.0,1
B00LORPNSC,100.0,1
B011KCE1JM,100.0,1
B00WA7PD5I,100.0,1
B00DNGRL2I,100.0,1
B06ZYNCG72,100.0,1
B00GUGJQ0I,100.0,1
B00G84H3RU,100.0,1
B009PC1NO6,100.0,1
B09C1FX6V4,100.0,1
B01MF8WOSR,100.0,1
B00B1GF1OW,100.0,1
B01CNT0L54,100.0,1
B07LGLR4R4,100.0,1
B0002F5BFW,100.0,1
B01N3368WM,100.0,1
B07DRQLP2S,100.0,1
B07KQGVS5P,100.0,1
B012O1YIZU,100.0,1
B08TN13ZG3,100.0,1
B0732RMYX5,100.0,1
B07WF71QCS,100.0,1
B07DDMXRWF,100.0,1
B07CV7TBJD,100.0,1
B013E37Z7A,100.0,1
B00MSWRQSM,100.0,1
B00MP8XHBO,100.0,1
B07L74TRYD,100.0,1
B07Q2SM699,100.0,1
B00V829KIW,100.0,1
B07DKCYJ6V,100.0,1
B07P8B6CGT,100.0,1
B07HNX2JYG,100.0,1
B000GHI7FM,100.0,1
B00C3ENQT8,100.0,1
B001RCLI56,100.0,1
B01CCFKWXA,100.0,1
B0026NUGIU,100.0,1
B07WCNWK84,100.0,1
B01MZYX4UW,100.0,1
B0049IBXYQ,100.0,1
B01LXLNCIS,100.0,1
B000RELWRO,100.0,1
B08BYJHZ9X,100.0,1
B0B5QX8R8N,100.0,1
B01D1XLR54,100.0,1
B013V4QVB8,100.0,1
B007KDYZ7Y,100.0,1
B01M3R6TUI,100.0,1
B01HMMM8MQ,100.0,1
B01M0L4S2M,100.0,1
B003B15A78,100.0,1
B0759NZQS7,100.0,1
