parent_asin,overall_sentiment_score,total_reviews,positive_count,neutral_count,negative_count,% positive,% neutral,% negative
B00006343B,1.0,1,1,0,0,100.0,0.0,0.0
B000063D2P,-1.0,2,0,0,2,0.0,0.0,100.0
B000068O44,1.0,1,1,0,0,100.0,0.0,0.0
B000068O4E,1.0,1,1,0,0,100.0,0.0,0.0
B000068O4L,1.0,1,1,0,0,100.0,0.0,0.0
B000068O65,1.0,1,1,0,0,100.0,0.0,0.0
B000068PBL,1.0,1,1,0,0,100.0,0.0,0.0
B00006HOLL,1.0,2,2,0,0,100.0,0.0,0.0
B00006I51V,1.0,1,1,0,0,100.0,0.0,0.0
B00006I5SC,-1.0,1,0,0,1,0.0,0.0,100.0
B00006I5SD,0.0,1,0,1,0,0.0,100.0,0.0
B00006ISBM,0.5,2,1,1,0,50.0,50.0,0.0
B00006IUV4,-0.5,2,0,1,1,0.0,50.0,50.0
B00006J04Y,-1.0,1,0,0,1,0.0,0.0,100.0
B00006J04Z,0.0,1,0,1,0,0.0,100.0,0.0
B00006JPD5,1.0,1,1,0,0,100.0,0.0,0.0
B00006JPD8,1.0,1,1,0,0,100.0,0.0,0.0
B000071K5N,-1.0,1,0,0,1,0.0,0.0,100.0
B000079B5Z,1.0,2,2,0,0,100.0,0.0,0.0
B00007E7LT,-1.0,1,0,0,1,0.0,0.0,100.0
B00007E7RQ,0.75,4,3,1,0,75.0,25.0,0.0
B00007GD5N,0.0,1,0,1,0,0.0,100.0,0.0
B00007GD9M,-1.0,1,0,0,1,0.0,0.0,100.0
B0000899WB,1.0,1,1,0,0,100.0,0.0,0.0
B00008B5DZ,1.0,2,2,0,0,100.0,0.0,0.0
B00008B5E0,1.0,1,1,0,0,100.0,0.0,0.0
B00008BWM8,1.0,1,1,0,0,100.0,0.0,0.0
B00008D2MR,1.0,1,1,0,0,100.0,0.0,0.0
B00008LUPV,0.0,2,1,0,1,50.0,0.0,50.0
B00008RCNH,1.0,1,1,0,0,100.0,0.0,0.0
B00008W2LW,1.0,2,2,0,0,100.0,0.0,0.0
B00009RB0X,0.0,6,2,2,2,33.33333333333333,33.33333333333333,33.33333333333333
B00009RB0Y,1.0,1,1,0,0,100.0,0.0,0.0
B00009RB0Z,1.0,1,1,0,0,100.0,0.0,0.0
B00009RB17,1.0,1,1,0,0,100.0,0.0,0.0
B00009RB1I,1.0,2,2,0,0,100.0,0.0,0.0
B00009V3UC,1.0,1,1,0,0,100.0,0.0,0.0
B00009V3UE,0.0,1,0,1,0,0.0,100.0,0.0
B00009V3UV,1.0,1,1,0,0,100.0,0.0,0.0
B00009V3UW,1.0,1,1,0,0,100.0,0.0,0.0
B00009W3GJ,0.0,2,1,0,1,50.0,0.0,50.0
B00009W3GR,-1.0,1,0,0,1,0.0,0.0,100.0
B00009W3HB,-1.0,1,0,0,1,0.0,0.0,100.0
B00009W3I4,0.625,16,11,4,1,68.75,25.0,6.25
B00009W3N6,1.0,1,1,0,0,100.0,0.0,0.0
B00009W40D,0.3333333333333333,3,2,0,1,66.66666666666666,0.0,33.33333333333333
B00009ZY40,0.45454545454545453,11,8,0,3,72.72727272727273,0.0,27.27272727272727
B0000A1GQ3,1.0,1,1,0,0,100.0,0.0,0.0
B0000A605R,0.5,4,3,0,1,75.0,0.0,25.0
B0000AHSAM,-1.0,1,0,0,1,0.0,0.0,100.0
B0000AHSAR,-1.0,1,0,0,1,0.0,0.0,100.0
B0000AJQ42,1.0,1,1,0,0,100.0,0.0,0.0
B0000AQRSR,1.0,1,1,0,0,100.0,0.0,0.0
B0000AYKNU,1.0,1,1,0,0,100.0,0.0,0.0
B0000CBILJ,1.0,3,3,0,0,100.0,0.0,0.0
B0000CF3HB,0.3333333333333333,9,5,2,2,55.55555555555556,22.22222222222222,22.22222222222222
B0000CF4DJ,0.0,4,2,0,2,50.0,0.0,50.0
B0000DD4ME,1.0,1,1,0,0,100.0,0.0,0.0
B0000DI7XR,0.0,1,0,1,0,0.0,100.0,0.0
B0000DJAJ6,1.0,1,1,0,0,100.0,0.0,0.0
B0000E68SY,1.0,1,1,0,0,100.0,0.0,0.0
B0000TN7NS,0.42857142857142855,7,5,0,2,71.42857142857143,0.0,28.57142857142857
B0000TP57E,1.0,1,1,0,0,100.0,0.0,0.0
B0000WM2IG,0.5,2,1,1,0,50.0,50.0,0.0
B0000WS438,1.0,1,1,0,0,100.0,0.0,0.0
B0000WS5FK,1.0,1,1,0,0,100.0,0.0,0.0
B0000Y3D5K,1.0,1,1,0,0,100.0,0.0,0.0
B0000YV9Q0,1.0,1,1,0,0,100.0,0.0,0.0
B0000ZG44Q,-1.0,1,0,0,1,0.0,0.0,100.0
B0000ZLF18,0.0,2,1,0,1,50.0,0.0,50.0
B00011JN5G,-0.16666666666666666,6,2,1,3,33.33333333333333,16.666666666666664,50.0
B00011R614,1.0,1,1,0,0,100.0,0.0,0.0
B00011SJL0,-1.0,1,0,0,1,0.0,0.0,100.0
B00012C00U,-1.0,1,0,0,1,0.0,0.0,100.0
B00012EYNG,0.5,4,2,2,0,50.0,50.0,0.0
B00012F7G4,1.0,1,1,0,0,100.0,0.0,0.0
B00012FL8I,-0.5,2,0,1,1,0.0,50.0,50.0
B00012K42Q,0.5,2,1,1,0,50.0,50.0,0.0
B00013Z0EM,1.0,1,1,0,0,100.0,0.0,0.0
B000142AN0,1.0,1,1,0,0,100.0,0.0,0.0
B00014EF3S,1.0,2,2,0,0,100.0,0.0,0.0
B00014FDQQ,1.0,1,1,0,0,100.0,0.0,0.0
B00014FG18,1.0,3,3,0,0,100.0,0.0,0.0
B00014JOLG,-1.0,1,0,0,1,0.0,0.0,100.0
B000165DSM,0.0,2,0,2,0,0.0,100.0,0.0
B00016QZ0C,0.29411764705882354,17,9,4,4,52.94117647058824,23.52941176470588,23.52941176470588
B00018706I,1.0,1,1,0,0,100.0,0.0,0.0
B000189YBW,1.0,1,1,0,0,100.0,0.0,0.0
B00018TN1S,1.0,3,3,0,0,100.0,0.0,0.0
B0001AVUXA,1.0,1,1,0,0,100.0,0.0,0.0
B0001CKIPE,1.0,2,2,0,0,100.0,0.0,0.0
B0001D35FI,1.0,1,1,0,0,100.0,0.0,0.0
B0001GUDKK,1.0,1,1,0,0,100.0,0.0,0.0
B0001HYJW2,1.0,2,2,0,0,100.0,0.0,0.0
B0001HYKBC,0.5,2,1,1,0,50.0,50.0,0.0
B0001HYKBM,0.5,2,1,1,0,50.0,50.0,0.0
B0001HYLR0,-0.5,2,0,1,1,0.0,50.0,50.0
B0001I2F04,0.0,1,0,1,0,0.0,100.0,0.0
B0001IXA9O,-1.0,1,0,0,1,0.0,0.0,100.0
B0001KHN2M,0.0,1,0,1,0,0.0,100.0,0.0
B0001M1IAI,1.0,1,1,0,0,100.0,0.0,0.0
B0001M3V3U,1.0,1,1,0,0,100.0,0.0,0.0
B0001N7SWE,1.0,1,1,0,0,100.0,0.0,0.0
B0001TM9WC,1.0,1,1,0,0,100.0,0.0,0.0
B0001YJ5EW,1.0,1,1,0,0,100.0,0.0,0.0
B0001ZWPI4,0.6914893617021277,94,71,17,6,75.53191489361703,18.085106382978726,6.382978723404255
B0001ZZSFG,1.0,1,1,0,0,100.0,0.0,0.0
B000209ZOA,-1.0,1,0,0,1,0.0,0.0,100.0
B00021B4I4,1.0,1,1,0,0,100.0,0.0,0.0
B00021E2DI,1.0,1,1,0,0,100.0,0.0,0.0
B00023C3YG,1.0,1,1,0,0,100.0,0.0,0.0
B00023DHV4,1.0,2,2,0,0,100.0,0.0,0.0
B00023J4AW,1.0,2,2,0,0,100.0,0.0,0.0
B000246SKU,0.0,2,1,0,1,50.0,0.0,50.0
B00024CLEC,1.0,1,1,0,0,100.0,0.0,0.0
B0002564EE,1.0,1,1,0,0,100.0,0.0,0.0
B00026A2DM,1.0,1,1,0,0,100.0,0.0,0.0
B000289DCG,1.0,1,1,0,0,100.0,0.0,0.0
B00029HDT0,-0.5,2,0,1,1,0.0,50.0,50.0
B00029XHBI,0.6666666666666666,3,2,1,0,66.66666666666666,33.33333333333333,0.0
B0002BBNCQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002BG2R2,1.0,2,2,0,0,100.0,0.0,0.0
B0002BG2S6,1.0,2,2,0,0,100.0,0.0,0.0
B0002BG48E,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZG0U,0.0,1,0,1,0,0.0,100.0,0.0
B0002CZQZU,1.0,2,2,0,0,100.0,0.0,0.0
B0002CZRU4,-1.0,1,0,0,1,0.0,0.0,100.0
B0002CZSTE,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZSX0,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZT1G,0.5,2,1,1,0,50.0,50.0,0.0
B0002CZT2A,1.0,2,2,0,0,100.0,0.0,0.0
B0002CZTIO,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZU56,0.0,1,0,1,0,0.0,100.0,0.0
B0002CZVG4,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZVI2,0.0,1,0,1,0,0.0,100.0,0.0
B0002CZVS2,-1.0,1,0,0,1,0.0,0.0,100.0
B0002CZWRW,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZWZY,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZXS0,0.0,1,0,1,0,0.0,100.0,0.0
B0002CZYFC,-1.0,1,0,0,1,0.0,0.0,100.0
B0002CZYHK,1.0,1,1,0,0,100.0,0.0,0.0
B0002CZZMY,1.0,1,1,0,0,100.0,0.0,0.0
B0002D00F0,1.0,1,1,0,0,100.0,0.0,0.0
B0002D00H8,0.0,3,1,1,1,33.33333333333333,33.33333333333333,33.33333333333333
B0002D00NM,0.0,1,0,1,0,0.0,100.0,0.0
B0002D01IG,1.0,1,1,0,0,100.0,0.0,0.0
B0002D01JK,1.0,1,1,0,0,100.0,0.0,0.0
B0002D01K4,1.0,2,2,0,0,100.0,0.0,0.0
B0002D01KO,1.0,1,1,0,0,100.0,0.0,0.0
B0002D02F8,1.0,1,1,0,0,100.0,0.0,0.0
B0002D02RG,1.0,1,1,0,0,100.0,0.0,0.0
B0002D03S4,0.0,1,0,1,0,0.0,100.0,0.0
B0002D03X4,0.0,1,0,1,0,0.0,100.0,0.0
B0002D03ZC,1.0,1,1,0,0,100.0,0.0,0.0
B0002D04HE,1.0,1,1,0,0,100.0,0.0,0.0
B0002D04TC,1.0,1,1,0,0,100.0,0.0,0.0
B0002D05FU,1.0,1,1,0,0,100.0,0.0,0.0
B0002D06EU,1.0,1,1,0,0,100.0,0.0,0.0
B0002D087A,0.0,1,0,1,0,0.0,100.0,0.0
B0002D0A82,0.5,2,1,1,0,50.0,50.0,0.0
B0002D0BSQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0C0S,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0C1C,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0CAI,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0CCQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0CEO,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0CFS,0.3333333333333333,3,2,0,1,66.66666666666666,0.0,33.33333333333333
B0002D0CL2,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0CNA,-0.3333333333333333,3,0,2,1,0.0,66.66666666666666,33.33333333333333
B0002D0EDS,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0EN8,0.5,2,1,1,0,50.0,50.0,0.0
B0002D0H0S,0.0,1,0,1,0,0.0,100.0,0.0
B0002D0IUM,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0JX8,0.0,4,2,0,2,50.0,0.0,50.0
B0002D0JXI,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0JZQ,0.0,2,1,0,1,50.0,0.0,50.0
B0002D0K50,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0KCS,0.5,2,1,1,0,50.0,50.0,0.0
B0002D0KDC,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0L4K,0.0,1,0,1,0,0.0,100.0,0.0
B0002D0M94,1.0,2,2,0,0,100.0,0.0,0.0
B0002D0MHQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0N7A,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0NSY,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0NZ2,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0PWI,1.0,1,1,0,0,100.0,0.0,0.0
B0002D0Q2W,1.0,1,1,0,0,100.0,0.0,0.0
B0002D15JU,0.5,2,1,1,0,50.0,50.0,0.0
B0002DK8VG,-1.0,1,0,0,1,0.0,0.0,100.0
B0002DNAF2,1.0,1,1,0,0,100.0,0.0,0.0
B0002DNSMC,1.0,1,1,0,0,100.0,0.0,0.0
B0002DNUIO,1.0,2,2,0,0,100.0,0.0,0.0
B0002DNUWK,0.0,1,0,1,0,0.0,100.0,0.0
B0002DNX8Q,1.0,1,1,0,0,100.0,0.0,0.0
B0002DUEO2,0.0,1,0,1,0,0.0,100.0,0.0
B0002DUQ72,1.0,1,1,0,0,100.0,0.0,0.0
B0002DURGW,1.0,2,2,0,0,100.0,0.0,0.0
B0002DURLC,1.0,1,1,0,0,100.0,0.0,0.0
B0002DURPI,1.0,1,1,0,0,100.0,0.0,0.0
B0002DUVL8,1.0,1,1,0,0,100.0,0.0,0.0
B0002DUVQI,1.0,1,1,0,0,100.0,0.0,0.0
B0002DUVU4,-0.5,2,0,1,1,0.0,50.0,50.0
B0002DUWWQ,0.0,1,0,1,0,0.0,100.0,0.0
B0002DV0CC,1.0,1,1,0,0,100.0,0.0,0.0
B0002DV0G8,1.0,1,1,0,0,100.0,0.0,0.0
B0002DV0GI,0.0,1,0,1,0,0.0,100.0,0.0
B0002DV5KO,1.0,1,1,0,0,100.0,0.0,0.0
B0002DV7OI,-1.0,1,0,0,1,0.0,0.0,100.0
B0002DV8BU,0.5,2,1,1,0,50.0,50.0,0.0
B0002DVBRQ,1.0,2,2,0,0,100.0,0.0,0.0
B0002DVD7E,1.0,1,1,0,0,100.0,0.0,0.0
B0002DVDQ0,-1.0,1,0,0,1,0.0,0.0,100.0
B0002DX5KW,1.0,1,1,0,0,100.0,0.0,0.0
B0002E1ES6,1.0,1,1,0,0,100.0,0.0,0.0
B0002E1EVS,1.0,1,1,0,0,100.0,0.0,0.0
B0002E1IW8,1.0,1,1,0,0,100.0,0.0,0.0
B0002E1NJG,0.0,1,0,1,0,0.0,100.0,0.0
B0002E1NJQ,0.0,1,0,1,0,0.0,100.0,0.0
B0002E1TAY,1.0,1,1,0,0,100.0,0.0,0.0
B0002E1TB8,0.5,2,1,1,0,50.0,50.0,0.0
B0002E1UEO,0.0,2,1,0,1,50.0,0.0,50.0
B0002E2D1I,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2G5Q,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2KU2,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2MP0,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2MQE,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2NCM,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2O2Q,0.5,2,1,1,0,50.0,50.0,0.0
B0002E2OXA,0.0,1,0,1,0,0.0,100.0,0.0
B0002E2Q92,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2S1I,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2SCW,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2SUO,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2TG2,1.0,1,1,0,0,100.0,0.0,0.0
B0002E2XCW,1.0,1,1,0,0,100.0,0.0,0.0
B0002E369G,1.0,1,1,0,0,100.0,0.0,0.0
B0002E373G,0.0,1,0,1,0,0.0,100.0,0.0
B0002E3808,1.0,1,1,0,0,100.0,0.0,0.0
B0002E382Q,1.0,1,1,0,0,100.0,0.0,0.0
B0002E38AS,1.0,1,1,0,0,100.0,0.0,0.0
B0002E38DU,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3A3S,-1.0,1,0,0,1,0.0,0.0,100.0
B0002E3AHY,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3B0K,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3B78,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3DF8,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3FBA,0.6666666666666666,3,2,1,0,66.66666666666666,33.33333333333333,0.0
B0002E3FGA,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3KPQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3MRW,0.0,1,0,1,0,0.0,100.0,0.0
B0002E3MYK,1.0,1,1,0,0,100.0,0.0,0.0
B0002E3MZO,1.0,1,1,0,0,100.0,0.0,0.0
B0002E4YI8,1.0,1,1,0,0,100.0,0.0,0.0
B0002E4YYM,1.0,1,1,0,0,100.0,0.0,0.0
B0002E4ZIW,-1.0,1,0,0,1,0.0,0.0,100.0
B0002E50WC,1.0,1,1,0,0,100.0,0.0,0.0
B0002E51C6,1.0,1,1,0,0,100.0,0.0,0.0
B0002E5266,-1.0,1,0,0,1,0.0,0.0,100.0
B0002E52HK,1.0,1,1,0,0,100.0,0.0,0.0
B0002E52OI,1.0,1,1,0,0,100.0,0.0,0.0
B0002E52RU,1.0,1,1,0,0,100.0,0.0,0.0
B0002E56FI,0.0,1,0,1,0,0.0,100.0,0.0
B0002E56U8,-1.0,1,0,0,1,0.0,0.0,100.0
B0002E582O,1.0,1,1,0,0,100.0,0.0,0.0
B0002E7DJ0,1.0,1,1,0,0,100.0,0.0,0.0
B0002EB5OE,1.0,2,2,0,0,100.0,0.0,0.0
B0002EJNG6,1.0,1,1,0,0,100.0,0.0,0.0
B0002EJUX2,1.0,1,1,0,0,100.0,0.0,0.0
B0002EJVUY,0.5,2,1,1,0,50.0,50.0,0.0
B0002EKBJO,1.0,2,2,0,0,100.0,0.0,0.0
B0002ERE0S,1.0,1,1,0,0,100.0,0.0,0.0
B0002EWU7K,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4LPS,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4MI4,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4MKM,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4MKW,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4ML6,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4N0Q,0.0,2,1,0,1,50.0,0.0,50.0
B0002F4NB0,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4NMY,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4TUA,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4V30,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4VTE,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4VTO,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4W0W,0.0,1,0,1,0,0.0,100.0,0.0
B0002F4WC0,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F4WCU,1.0,1,1,0,0,100.0,0.0,0.0
B0002F4WD4,0.0,1,0,1,0,0.0,100.0,0.0
B0002F4Y78,1.0,3,3,0,0,100.0,0.0,0.0
B0002F4Y7S,0.0,1,0,1,0,0.0,100.0,0.0
B0002F4YQY,1.0,4,4,0,0,100.0,0.0,0.0
B0002F50VW,0.0,1,0,1,0,0.0,100.0,0.0
B0002F51D4,0.0,1,0,1,0,0.0,100.0,0.0
B0002F52EW,1.0,1,1,0,0,100.0,0.0,0.0
B0002F52U6,1.0,1,1,0,0,100.0,0.0,0.0
B0002F56HK,1.0,1,1,0,0,100.0,0.0,0.0
B0002F57X8,1.0,1,1,0,0,100.0,0.0,0.0
B0002F58YQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002F596S,0.0,1,0,1,0,0.0,100.0,0.0
B0002F59EU,1.0,1,1,0,0,100.0,0.0,0.0
B0002F59ZY,1.0,3,3,0,0,100.0,0.0,0.0
B0002F5BKW,0.5,2,1,1,0,50.0,50.0,0.0
B0002F5C7Y,0.8333333333333334,6,5,1,0,83.33333333333334,16.666666666666664,0.0
B0002F5D9G,1.0,1,1,0,0,100.0,0.0,0.0
B0002F5DGE,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F5DL4,1.0,1,1,0,0,100.0,0.0,0.0
B0002F5F9O,1.0,1,1,0,0,100.0,0.0,0.0
B0002F5GXO,0.0,1,0,1,0,0.0,100.0,0.0
B0002F5H1K,1.0,1,1,0,0,100.0,0.0,0.0
B0002F5H38,0.0,1,0,1,0,0.0,100.0,0.0
B0002F5IJ6,0.5,2,1,1,0,50.0,50.0,0.0
B0002F6NH2,0.0,2,1,0,1,50.0,0.0,50.0
B0002F6NJA,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6PJ8,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6RSM,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6RTQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6S36,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6TP8,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6UGQ,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6W5K,1.0,1,1,0,0,100.0,0.0,0.0
B0002F6WSM,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F6XIQ,0.0,1,0,1,0,0.0,100.0,0.0
B0002F707Y,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F71KK,1.0,1,1,0,0,100.0,0.0,0.0
B0002F71RI,0.0,1,0,1,0,0.0,100.0,0.0
B0002F73TE,1.0,1,1,0,0,100.0,0.0,0.0
B0002F73YY,0.5,2,1,1,0,50.0,50.0,0.0
B0002F742K,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7434,1.0,1,1,0,0,100.0,0.0,0.0
B0002F74AM,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F74C0,1.0,1,1,0,0,100.0,0.0,0.0
B0002F75KG,1.0,2,2,0,0,100.0,0.0,0.0
B0002F76XC,1.0,1,1,0,0,100.0,0.0,0.0
B0002F77PY,1.0,1,1,0,0,100.0,0.0,0.0
B0002F787G,1.0,1,1,0,0,100.0,0.0,0.0
B0002F78KS,0.0,1,0,1,0,0.0,100.0,0.0
B0002F78QW,1.0,1,1,0,0,100.0,0.0,0.0
B0002F79ZW,0.0,1,0,1,0,0.0,100.0,0.0
B0002F7A0G,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7C6I,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7CK4,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7EWU,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7FAG,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F7FQA,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7FU6,1.0,2,2,0,0,100.0,0.0,0.0
B0002F7GPK,-1.0,1,0,0,1,0.0,0.0,100.0
B0002F7IQ2,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7IXA,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7J3O,1.0,1,1,0,0,100.0,0.0,0.0
B0002F7KK6,0.0,1,0,1,0,0.0,100.0,0.0
B0002FO2IO,0.0,1,0,1,0,0.0,100.0,0.0
B0002FO5LS,1.0,1,1,0,0,100.0,0.0,0.0
B0002FO5RC,-1.0,1,0,0,1,0.0,0.0,100.0
B0002FO8BK,1.0,1,1,0,0,100.0,0.0,0.0
B0002FO9RS,1.0,1,1,0,0,100.0,0.0,0.0
B0002FOJEG,1.0,1,1,0,0,100.0,0.0,0.0
B0002FOLDU,1.0,1,1,0,0,100.0,0.0,0.0
