parent_asin,main_category,title,average_rating,rating_number,price,performance_target,predicted_performance_score
B09MHHNY5F,All Beauty,1.6 oz Eau De Toilette Spray Perfume for Women Forbidden Affair Perfume By Anna Sui Eau De Toilette Spray 「Elegant fragrance」,5.0,2,44.39,5.493061443340549,5.493061443340544
B014MLQJSY,All Beauty,"Velvet Tara 4,6,8 TA 4""6""8"" - Color DR425 - Remi Weaving",5.0,2,44.99,5.493061443340549,5.493061443340544
B01IAFLQPE,All Beauty,L.A. Colors Dual Pencil Sharpener 1 ea (Pack of 3),5.0,2,9.9,5.493061443340549,5.493061443340544
B00JX0GWY6,All Beauty,CUPCAKE (4 Medium Brown) - Shake N Go Freetress Synthetic Hair Bun/Ponytail Dome,5.0,2,9.99,5.493061443340549,5.493061443340544
B08DS6LVY2,All Beauty,"Vaseline Tone-Up Sun Cream, Brighten + Moisturize + Protect against UV Rays, Facial Moisturizer with SPF 40, 50 ML",5.0,2,18.49,5.493061443340549,5.493061443340544
B00Z23ZTFG,All Beauty,New - DMSO Cream Rose Scented - 4 oz,5.0,2,23.99,5.493061443340549,5.493061443340544
B01IDQHHY4,All Beauty,"Mediterranean Seas Lavender and Basil Bubble Bar for Soothing Bubble Baths, Diva Stuff",5.0,2,9.49,5.493061443340549,5.493061443340544
B01AAC0VRE,All Beauty,TQWY 10pcs Plastic Acrylic Nail Art Soak Off Clip Cap Uv Gel Polish Remover Wrap Easy to Use Nail Tool (purple),5.0,2,7.99,5.493061443340549,5.493061443340544
B08ZNTR5LN,All Beauty,NO MELT LIP TINT (Blushed Pink),5.0,2,10.24,5.493061443340549,5.493061443340544
B086H4C8QB,All Beauty,Hydrating Therapy Conditioner by Biosilk for Unisex - 12 oz Conditioner - (Pack of 2),5.0,3,26.9,6.931471805599453,6.931471805599464
B06XBBZ8F5,All Beauty,HOLIKA HOLIKA Pure Essence Mask Sheet - Cucumber,5.0,3,16.9,6.931471805599453,6.931471805599464
B084ZFMG2X,All Beauty,Iconic London Day to Slay Eyeshadow Palette,5.0,3,49.99,6.931471805599453,6.931471805599464
B0779PFR1M,All Beauty,L.A Colors Lip Gloss & Lipstick Duo #CBLG149 - Vibe,5.0,3,5.0,6.931471805599453,6.931471805599464
B000RWJ4LM,All Beauty,"Staub Staub round cocotte, dark blue, 7 qt. - dark blue (1102891, 2.4 Pound",5.0,3,329.95,6.931471805599453,6.931471805599464
B00ITX69CS,All Beauty,"Hydriance Transition Cleanser | Deep Pore Gel Cleanser, Make up Remover, Shaving Cream",5.0,3,32.0,6.931471805599453,6.931471805599464
B006EPH5CQ,All Beauty,AFM SafeChoice Super Shampoo and Body Wash Original Formula - Gallon (Package of 4 Gallons),5.0,3,230.99,6.931471805599453,6.931471805599464
B07Q37QHYF,All Beauty,Artmiss Boho Layered Necklace Silver Women Multilayer Long Chain Fashion Horn Elephant Pendant Necklace for Girls,5.0,3,9.99,6.931471805599453,6.931471805599464
B0755QTCNG,All Beauty,Linha Matizacao Le Charmes Cosmeticos - Intensy Color Platinum 500 Ml - (Le Charmes Cosmeticos Brassiness Control Collection - Intensy Color Platinum Net 16.9 Oz),5.0,3,49.99,6.931471805599453,6.931471805599464
B07M88KTCX,All Beauty,Kiss Me In The Garden French Lavender Whipped Body Crème 16 oz,5.0,3,27.99,6.931471805599453,6.931471805599464
B097XJ7Q42,All Beauty,Ulta Beauty Correct And Perfect Lip Primer (Pack of 2),5.0,3,29.99,6.931471805599453,6.931471805599464
B074WL6D4M,All Beauty,Dare to Wear METALLUX Nail Polish 0.5oz/15mL - (DWML02 - Eternal),5.0,3,11.95,6.931471805599453,6.931471805599464
B014C7TYD0,All Beauty,"14pc Professional Makeup Brush Set - Cameo Cosmetics Makeup Brushes and Tools Set with Professional Black Pouch, Perfect As a Brushes and Applicators Gift Set, Made with Goat, Horse & Nylon Hair",5.0,3,34.0,6.931471805599453,6.931471805599464
B07DJMMVNF,All Beauty,DND Duo 592 Italian Pink,5.0,3,9.99,6.931471805599453,6.931471805599464
B016PANZLO,All Beauty,"Ardell Glamour Lashes Eyelashes,122 Black, (Pack of 3)",4.6,3,14.5,6.376954061151496,6.378340355512619
B0BHMF7WLF,All Beauty,"Dashing Diva Magic Press Holiday Nails - Winterfest Berry | Medium, Square On Long Lasting Stick Gel Lasts Up to 7 Days Contains 30 Nails, 1 Prep Pad, File, 1.0 Fl Oz",4.6,3,14.99,6.376954061151496,6.378340355512619
B005EFSRJ2,All Beauty,"Large Hydrangea Artificial Flower Hair Clip/Pin Brooch, Purple",3.2,3,12.9,4.43614195558365,4.44030083866701
B000WVXPWC,All Beauty,Mirthas Herbal Fresh Shampoo 8oz,4.4,3,9.99,6.099695188927519,6.098308894566394
B07PLP513J,All Beauty,"HANDAIYAN Liquid Eyebrow Pen, 1Pcs Eyebrow Tattoo Pen with 4 Tips 24 Hours Waterproof Brow Pencil for Eyes Makeup, 01 Light Coffee",3.4,3,9.99,4.713400827807628,4.716173416529865
B08W3WQPV2,All Beauty,Dry Shampoo with rice protection,4.6,3,8.5,6.376954061151496,6.382499238595979
B06Y46CN2Q,All Beauty,"2pcs Fashion Hair Styling Disk Hair, Donut Former Foam DIY Tool (Dark Coffee)",2.8,3,7.58,3.8816242111356933,3.9142452347721486
B00IYTP8ME,All Beauty,Surreal Sunset Nail Color,4.0,3,5.8,5.545177444479562,5.545177444479566
B0BCX7MDT1,All Beauty,"5pcs Nail Extension Curve Clips, Stainless Curve C Nail Curvature Pinching Clips Nail Art Accessories, Finger Extension Kit Diy Manicure Tool for Women Girls",4.3,3,5.39,5.9610657528155295,5.9527479866488235
B07TVQJBSR,All Beauty,EYES ON YOU BEAUTY Professional Eyelash Extension Starter Kit with Fashion Cloth Case Suitcase & Free Online Education - Volume Volume,3.5,3,399.0,4.852030263919617,4.834008437225062
B00CPTFGD0,All Beauty,Turquoise Crystal Rhinestone 4 Row Elastic Stretch Hair Band Headband,3.2,3,5.5,4.43614195558365,4.44030083866701
B00OZA9T2G,All Beauty,Surelife 860212 Talking Blood Pressure Monitor By Surelife One Unit Sold By Diabetic Corner,3.4,3,31.92,4.713400827807628,4.714787122168741
B07G32V7JH,All Beauty,ELROEL PangPang Big Cushion Yellow 25g (SPF50+) (Cushion+2refill),3.7,3,58.9,5.129289136143595,5.126516547421358
B000NOIDNE,All Beauty,Pop Beauty Eye Class - Smokey Eyes,4.5,3,29.95,6.238324625039508,6.238324625039505
B00IAA4NWI,All Beauty,Blue Magic Tea-Tree Oil 12 oz. (Pack of 2),4.5,3,17.99,6.238324625039508,6.238324625039505
B08G1MFG8D,All Beauty,"Facial Cleansing Brush Head Replacement, Facial Cleansing Brush Head, For Clogged and Enlarged Pores(2 Blue Sensitive)",3.7,3,13.99,5.129289136143595,5.125130253060237
B092798FHT,All Beauty,"Natural Organic Hair Color Dye PERMANENT by Salerm Biokera (5: Light Brown), 2.3",4.3,3,15.95,5.9610657528155295,5.951361692287703
B001280EKA,All Beauty,Plumeria Flower Blossom Hawaiian Cologne 1.6 Fl Oz,4.0,3,25.98,5.545177444479562,5.550722621924045
B00MZJZ1DK,All Beauty,Avon Glimmersticks Diamonds Eye Liner Onyx Collection Gold Onyx 0.01 Oz,3.6,3,12.99,4.990659700031606,4.98927340567048
B07RD4J1L6,All Beauty,Eau De Toilette Spray 6.7 oz,4.5,3,68.97,6.238324625039508,6.238324625039505
B015UVDTOC,All Beauty,Unisex TIGI Bed Head Control Freak Conditioner 8.5 oz 1 pcs sku# 1759896MA,3.5,3,14.99,4.852030263919617,4.843712497752904
B01KYS5EVW,All Beauty,Becca x Jaclyn - Split Pan Shimmering Duo - Prosecco Pop/Pamplemousse,4.2,4,21.99,6.759639232223221,6.759639232223211
B01DNALWVE,All Beauty,"Kylie Jenner King Kylie Collection Nail Polish Kafe Latte Bundle with Top Coat, 0.5 Fl Oz Each Bottle",2.8,4,19.99,4.506426154815481,4.524823992362662
B07V9NWY3K,All Beauty,Glacier Water + Collagen Makeup Cleansing Wipes,3.7,4,9.0,5.954920276006171,5.940435334794273
B075C2JYXY,All Beauty,TERRITOIRE PLATINUM Pour Homme eau de parfum spray 100ml/3.4oz.,3.8,4,40.0,6.115864067249581,6.117473505162014
B005HBT3AU,All Beauty,Gelish Exhale Gel Nail Polish .5oz,3.1,4,19.95,4.989257528545711,4.965376861940467
B0030HDP3O,All Beauty,BEAUTY 21 COSMETICS EYESHADOW RADIANT,4.3,4,1.75,6.920583023466631,6.90448864434229
B07LC43TXZ,All Beauty,Lurella Liquid Lipstick Lit,4.7,4,9.75,7.564358188440272,7.564358188440261
B01M0OD5OQ,All Beauty,"Clinique Superbalanced Silk Makeup Foundation SPF 15, 1 oz / 30 ml, 12 Silk Maple (MF-G)",2.7,4,29.99,4.345482363572071,4.4378801284390645
B0B2DJN9BD,All Beauty,"Cat Brush for Shedding Self Cleaning Slicker Brushes Pet Grooming Brush for Long Haired Cats Dog Shedding Brush for Easily Removes Floating Hair, Loose Fur, Mats & Tangles",3.3,4,4.99,5.3111451110325305,5.309535673120104
B01M72PC4U,All Beauty,Deb Group 1 Liter Refill SBS 40 Scented Medicated Skin Cream,4.4,4,29.97,7.081526814710042,7.115325010871166
B00F6LAMY2,All Beauty,Acrylic UV Gel Brush Rest Nail Brush Holder Display Nail Brush Stand,4.0,4,2.69,6.437751649736401,6.439361087648833
B09D4ZF9WX,All Beauty,Lothantique Authentique Lavender Linen Water Spray 500ml,4.0,4,29.95,6.437751649736401,6.439361087648833
B01NCZ7VWN,All Beauty,"Greenwich Bay Hand Lotion For The Kitchen with Shea Butter, Cocoa Butter, Virgin Olive Oil and Orange, Grapefruit and Lemon extracts 16 oz (Pink Grapefruit)",3.4,4,14.99,5.4720889022759405,5.46887002645106
B00EM8LENI,All Beauty,"Elegant Hair - 22"" PONYTAIL Clip in Hair Piece WAVY Light Auburn #30Y REVERSIBLE Claw Clip",3.7,4,20.99,5.954920276006171,5.929169269407234
B01D1SU6AG,All Beauty,Color Club Chalk IT UP .5 fl oz Neon Matte Finish Nail Lacquer-from The New Pop Chalk Collection,2.5,4,6.99,4.023594781085251,4.0840178397634626
B07NZ8PHF8,All Beauty,Rakan by Surrati Perfumes Factory,2.9,4,25.0,4.667369946058891,4.562767775562917
B009FPIDPU,All Beauty,"Gift idea for men, Liquid Bearings, The All-Purpose synthetic oil, perfect for audiophiles, sportsmen, hobbyists, bicyclers, fishermen, anyone will love it!! by Liquid Bearings",4.5,4,14.99,7.242470605953451,7.2424706059534545
B01N4PJXCL,All Beauty,Cupidlovehair Yellow Blonde Wave Medium 18 Inches Heat Resistant Korea Synthetic Fiber Hair Lace Front Wigs Natural,3.5,4,39.99,5.633032693519351,5.607281686920398
B07FCVQ85G,All Beauty,rareESSENCE Aromatherapy - Hand Lotion - Aromatherapy- Bergamot & Lime,3.8,4,9.99,6.115864067249581,6.117473505162014
B01L20TJ7Q,All Beauty,Lot of 2 Foaming Lavender Bath Soap 16 Ounce/each bottle,4.7,4,9.98,7.564358188440272,7.564358188440261
B07577M1PR,All Beauty,"AVON Far Away Collection. Original, Gold, and Infinity set 3 pcs.,",4.8,4,14.95,7.725301979683681,7.7172547901215065
B00WMK22PW,All Beauty,"Pop-Arazzi""Yin Meets Yang"" Nail Polish",4.0,4,8.8,6.437751649736401,6.439361087648833
B09FQC15N6,All Beauty,Pretty Marry Long Lasting Waterproof Gel eyeliner 2 in 1 Self-Adhesive Magic Liquid Eyelash-Black,3.3,4,6.99,5.3111451110325305,5.309535673120104
B00JYWTWJ0,All Beauty,One Dozen Hibiscus Flower Hair Clips/LUAU/BEACH Party Supplies/Hair Accessories,3.8,4,16.88,6.115864067249581,6.117473505162014
B07XJPWWPB,All Beauty,Merzy The Firtst Pen Eyeliner 0.5g (BROWNIE 2P),3.4,4,27.99,5.4720889022759405,5.46887002645106
B074ZQWRXL,All Beauty,Aesop Herbal Deodorant 50ml/1.7oz,4.6,4,48.8,7.403414397196861,7.405023835109307
B08N9T4LCL,All Beauty,Dirham Oud - Eau De Parfum - 100ml by Ard Al Zaafaran,4.5,4,22.99,7.242470605953451,7.240861168041021
B071DLVJPG,All Beauty,DND Daisy Soak Off Gel All In One Set -Candy Cane-636,3.9,4,9.99,6.276807858492991,6.275198420580564
B00VSN67AK,All Beauty,Adidas Get Ready! for her Shower Gel 250 ml / 8.4 fl oz,3.9,4,6.99,6.276807858492991,6.280026734317866
B00IPREIFS,All Beauty,Maybelline Matte Maker Mattifying Powder - 10 Classic Ivory,4.6,4,15.95,7.403414397196861,7.400195521372004
B00IZA9G98,All Beauty,Champkom Champion Rock Hard Swag Gel 16 oz.,4.0,4,17.53,6.437751649736401,6.439361087648833
B079G1P9PG,All Beauty,Syoss Curls & Waves Conditioner 500 ml / 16.7 fl oz,4.0,4,15.49,6.437751649736401,6.439361087648833
B07BL58NMN,All Beauty,Bath Soap La Saponeria Firenze by Saponificio Artigianale Fiorentino Italian Spa Cleanser Made In Tuscany 10.5 Ounce Decorative Bar Gardenia Flower (G,5.0,4,13.99,8.047189562170502,8.047189562170502
B0888FGLBH,All Beauty,DND DC 060 - BEET ROOT Gel & Matching Polish Set - DND DC Gel & Lacquer,5.0,4,11.25,8.047189562170502,8.047189562170502
B01MRVTH7L,All Beauty,Sebex Medicated Dandruff Shampoo Generic for Sebulex - 4 oz by Major Pharmaceuticals,5.0,4,23.99,8.047189562170502,8.047189562170502
B083ZMHR3N,All Beauty,Environ AVST 5,5.0,4,155.0,8.047189562170502,8.047189562170502
B00M3JV67C,All Beauty,INM Pro-tech System Natural Nail Strengthener 0.5 Fl. Oz,5.0,4,17.39,8.047189562170502,8.047189562170502
B00BH4EWAC,All Beauty,"DMB Live Trax Vol. 24: Dave Matthews & Tim Reynolds - Spartanburgh Memorial Auditorium - Spartanburgh, SC (2.8.97)",5.0,4,28.98,8.047189562170502,8.047189562170502
B00DZZKUNE,All Beauty,Pre de Provence Milk Soap - Pack of 2 Bars,5.0,4,18.25,8.047189562170502,8.047189562170502
B0733Y84D3,All Beauty,Three Flowers Brilliantine Liquid 4 Ounce (118ml) (6 Pack),5.0,4,18.1,8.047189562170502,8.047189562170502
B0BTDRC7NB,All Beauty,"Chuan’s Promise Natural Humble Powder Cleanser, Organic Rice Powder, Kaolin Clay, Exfoliate and Cleanse Skin, Travel Friendly, Eco-Friendly, Plastic-Free, Recyclable Packaging, 3-ounce Tube",5.0,4,28.0,8.047189562170502,8.047189562170502
B0762R6WS7,All Beauty,"Fashion and Jewelry Accessory of Trendy Charm Clip On Pendant for Armbands Bracelets Bangles With Cross Decorations, Pearl and Rhinestones Crystals Gems",5.0,4,3.49,8.047189562170502,8.047189562170502
B07Z36732X,All Beauty,New Look plumberry 292 New and Genuine,5.0,5,8.6,8.958797346140274,8.958797346140274
B0173A16CK,All Beauty,Lot of 3 Bath & Body Works A Thousand Wishes Ultra Shea Body Butter 7 oz/ 200 g (Thousand Wishes),5.0,5,30.0,8.958797346140274,8.958797346140274
B078Q911RW,All Beauty,Ocean 6 oz Shea Butter Bath Soap by Mangiacotti,5.0,5,9.79,8.958797346140274,8.958797346140274
B0C6MJC1B7,All Beauty,Ruina Wigs for Mens 60s 70s 80s Costume Wig Mullet Wigs for Men Women Joe Dirt Costume Disco Punk Hippie Wigs for Party Halloween (Light Brown) R035LBR,5.0,5,17.99,8.958797346140274,8.958797346140274
B002RH1KVM,All Beauty,Kissaki Dog Grooming Scissors Nagasa 48 tooth Rainbow Titanium Pet Thinning Shears Dog Shears,5.0,5,129.98,8.958797346140274,8.958797346140274
B07SNGMW4J,All Beauty,REVIVA LABS - Ultra Rich Ultra Light Daytime Moisturizer w/ Vitamin C (Packs of 2),5.0,5,2.99,8.958797346140274,8.958797346140274
B01IAEGHGS,All Beauty,"Almay Brow Defining Pencil, Brunette [802], 1 ea (Pack of 3)",5.0,5,44.99,8.958797346140274,8.958797346140274
B098TQ7RZ9,All Beauty,Wee Ones Mini Leopard Print Grosgrain Bow,5.0,5,10.99,8.958797346140274,8.958797346140274
B0BLJ29VW7,All Beauty,"Crystals Galore 4U Rose Quartz Face Roller Gua Sha - Rose Quartz Gua Sha Skin Care Set Includes Pink Face Roller & Scraper Tool, Face Sponge, Scented Candle, & Crystal Oil Bottle",5.0,5,32.99,8.958797346140274,8.958797346140274
B00PCX5CX0,All Beauty,Bar Soap (USDA Organic) Vanilla Ground Java - Exfoliating | Moisturizing Coconut Oil | Healing Aloe Vera,5.0,5,7.99,8.958797346140274,8.958797346140274
B001AP2J6W,All Beauty,Ichigo Milk Flavor Soap,5.0,5,4.67,8.958797346140274,8.958797346140274
