parent_asin,main_category,optimal_price_min,optimal_price_max
B07T62WSBQ,AMAZON FASHION,1.49,631.0
B07VZ3LGFD,AMAZON FASHION,1.49,631.0
B005RVMIA2,AMAZON FASHION,1.49,631.0
B01LG10FOM,AMAZON FASHION,1.49,631.0
B00B2PMF5K,AMAZON FASHION,1.49,631.0
B089DZ8WGY,AMAZON FASHION,1.49,631.0
B06Y3X5FT5,AMAZON FASHION,1.49,631.0
B0BZSCH9TT,AMAZON FASHION,1.49,631.0
B0828FQJJX,AMAZON FASHION,1.49,631.0
B09JXVMTJF,AMAZON FASHION,1.49,631.0
B08G1RTH3L,AMAZON FASHION,1.49,631.0
B00DMJI7S8,AMAZON FASHION,1.49,631.0
B07GRYDBK6,AMAZON FASHION,1.49,631.0
B077B36RGP,AMAZON FASHION,1.49,631.0
B0BLCCCLQS,AMAZON FASHION,1.49,631.0
B073GHBH4T,AMAZON FASHION,1.49,631.0
B06XC8C4XX,AMAZON FASHION,1.49,631.0
B09B3S76V9,AMAZON FASHION,1.49,631.0
B09XWQLYH3,AMAZON FASHION,1.49,631.0
B07M749G85,AMAZON FASHION,1.49,631.0
B08L97VCYC,AMAZON FASHION,1.49,631.0
B00FGSW3MO,AMAZON FASHION,1.49,631.0
B07BQQHXHH,AMAZON FASHION,1.49,631.0
B00OU0SIPA,AMAZON FASHION,1.49,631.0
B07CP3JFDN,AMAZON FASHION,1.49,631.0
B0794FL4HY,AMAZON FASHION,1.49,631.0
B08VRSB6ZY,AMAZON FASHION,1.49,631.0
B07XYGQJKQ,AMAZON FASHION,1.49,631.0
B00B79ZAAS,AMAZON FASHION,1.49,631.0
B0BMZX7J67,AMAZON FASHION,1.49,631.0
B0BXHTRS8T,AMAZON FASHION,1.49,631.0
B08F2M37TF,AMAZON FASHION,1.49,631.0
B017LVF6QS,AMAZON FASHION,1.49,631.0
B07TY546LF,AMAZON FASHION,1.49,631.0
B091BS6QPR,AMAZON FASHION,1.49,631.0
B079JG7STK,AMAZON FASHION,1.49,631.0
B081DXXSF1,AMAZON FASHION,1.49,631.0
B08M85R6C2,AMAZON FASHION,1.49,631.0
B07F294PZW,AMAZON FASHION,1.49,631.0
B07P7QG5Z5,AMAZON FASHION,1.49,631.0
B07JWLTCLX,AMAZON FASHION,1.49,631.0
B07CZ6LL3P,AMAZON FASHION,1.49,631.0
B07VS4JNC3,AMAZON FASHION,1.49,631.0
B08YRQHNM8,AMAZON FASHION,1.49,631.0
B07G74B72V,AMAZON FASHION,1.49,631.0
B08DHKQ8CX,AMAZON FASHION,1.49,631.0
B08Y63PJJK,AMAZON FASHION,1.49,631.0
B06XPSZXJJ,AMAZON FASHION,1.49,631.0
B089B6JJWF,AMAZON FASHION,1.49,631.0
B092ZS74G8,AMAZON FASHION,1.49,631.0
B079G5MBTX,AMAZON FASHION,1.49,631.0
B07B4G6R23,AMAZON FASHION,1.49,631.0
B09NV2NZT5,AMAZON FASHION,1.49,631.0
B00P9H3JHA,AMAZON FASHION,1.49,631.0
B08MZPYMW4,AMAZON FASHION,1.49,631.0
B085MP9FNC,AMAZON FASHION,1.49,631.0
B09HQDV1TJ,AMAZON FASHION,1.49,631.0
B071V7FPDP,AMAZON FASHION,1.49,631.0
B085FWMVF7,AMAZON FASHION,1.49,631.0
B08Z4BCVWQ,AMAZON FASHION,1.49,631.0
B084VKGWFR,AMAZON FASHION,1.49,631.0
B07HGGXFP5,AMAZON FASHION,1.49,631.0
B07NLF8NGF,AMAZON FASHION,1.49,631.0
B0BTLPHBBF,AMAZON FASHION,1.49,631.0
B07FLPVKTG,AMAZON FASHION,1.49,631.0
B07GZ7WHT9,AMAZON FASHION,1.49,631.0
B07SW2HGRJ,AMAZON FASHION,1.49,631.0
B07K43VFC7,AMAZON FASHION,1.49,631.0
B0BLHZ8TS3,AMAZON FASHION,1.49,631.0
B09MLT77XV,AMAZON FASHION,1.49,631.0
B075V24LD2,AMAZON FASHION,1.49,631.0
B079HCP3N5,AMAZON FASHION,1.49,631.0
B00JT1OQL0,AMAZON FASHION,1.49,631.0
B078NPVQ65,AMAZON FASHION,1.49,631.0
B0BW4V35N7,AMAZON FASHION,1.49,631.0
B077G9HFS6,AMAZON FASHION,1.49,631.0
B0BPNYDGRH,AMAZON FASHION,1.49,631.0
B09NKHCRNY,AMAZON FASHION,1.49,631.0
B01JZ0OURO,AMAZON FASHION,1.49,631.0
B00SQNLOGW,AMAZON FASHION,1.49,631.0
B01M30CKBM,AMAZON FASHION,1.49,631.0
B0BHPK3DL7,AMAZON FASHION,1.49,631.0
B07515HLK2,AMAZON FASHION,1.49,631.0
B00PB7S46E,AMAZON FASHION,1.49,631.0
B0086NY3PQ,AMAZON FASHION,1.49,631.0
B08LMHBQF6,AMAZON FASHION,1.49,631.0
B0081ZWWJI,AMAZON FASHION,1.49,631.0
B07S2CB827,AMAZON FASHION,1.49,631.0
B07HCTNLVG,AMAZON FASHION,1.49,631.0
B071J975FH,AMAZON FASHION,1.49,631.0
B00C2GUJA6,AMAZON FASHION,1.49,631.0
B0721VDWHQ,AMAZON FASHION,1.49,631.0
B07J2YHS4L,AMAZON FASHION,1.49,631.0
B007VOKRH4,AMAZON FASHION,1.49,631.0
B07ZV2MMBQ,AMAZON FASHION,1.49,631.0
B001C9N9OC,AMAZON FASHION,1.49,631.0
B07212NZ91,AMAZON FASHION,1.49,631.0
B01DQ7EIXI,AMAZON FASHION,1.49,631.0
B01AIU93V8,AMAZON FASHION,1.49,631.0
B07GP5J4TS,AMAZON FASHION,1.49,631.0
B07KQBY6W5,AMAZON FASHION,1.49,631.0
B01MZ6YGI3,AMAZON FASHION,1.49,631.0
B0026JGG4W,AMAZON FASHION,1.49,631.0
B01G0ZZNW8,AMAZON FASHION,1.49,631.0
B07SSJV4K3,AMAZON FASHION,1.49,631.0
B075SM3M8J,AMAZON FASHION,1.49,631.0
B016ZRI9WM,AMAZON FASHION,1.49,631.0
B00HYMRGTA,AMAZON FASHION,1.49,631.0
B003SKBH1K,AMAZON FASHION,1.49,631.0
B07H46MGJ1,AMAZON FASHION,1.49,631.0
B07SXR1JM4,AMAZON FASHION,1.49,631.0
B07P7VL9VJ,AMAZON FASHION,1.49,631.0
B0B77XY9JC,AMAZON FASHION,1.49,631.0
B00MMOVHHC,AMAZON FASHION,1.49,631.0
B0BT14XDBZ,AMAZON FASHION,1.49,631.0
B076KXV6JD,AMAZON FASHION,1.49,631.0
B0B31ZX5LS,AMAZON FASHION,1.49,631.0
B07B66YQVG,AMAZON FASHION,1.49,631.0
B00HHBR02G,AMAZON FASHION,1.49,631.0
B07DKWH3NR,AMAZON FASHION,1.49,631.0
B08W3M4LQJ,AMAZON FASHION,1.49,631.0
B00L1M5THU,AMAZON FASHION,1.49,631.0
B001NE2708,AMAZON FASHION,1.49,631.0
B01LZY4MPQ,AMAZON FASHION,1.49,631.0
B09WY56558,AMAZON FASHION,1.49,631.0
B099WMSMMJ,AMAZON FASHION,1.49,631.0
B07PR8DZ8X,AMAZON FASHION,1.49,631.0
B0738K3TCY,AMAZON FASHION,1.49,631.0
B0087TJ1HY,AMAZON FASHION,1.49,631.0
B0187QW1YQ,AMAZON FASHION,1.49,631.0
B07QGKFNH8,AMAZON FASHION,1.49,631.0
B076SMPF8F,AMAZON FASHION,1.49,631.0
B00KC4WXFE,AMAZON FASHION,1.49,631.0
B01MDTL90F,AMAZON FASHION,1.49,631.0
B07ZXJVC9Z,AMAZON FASHION,1.49,631.0
B07S8KMCQW,AMAZON FASHION,1.49,631.0
B0B2KL8C8Q,AMAZON FASHION,1.49,631.0
B0749L2NMK,AMAZON FASHION,1.49,631.0
B07K4CC56K,AMAZON FASHION,1.49,631.0
B06ZYKXFY9,AMAZON FASHION,1.49,631.0
B073SSZ27P,AMAZON FASHION,1.49,631.0
B0BSTSZM62,AMAZON FASHION,1.49,631.0
B08RLL4P5Z,AMAZON FASHION,1.49,631.0
B07GKLQ5KV,AMAZON FASHION,1.49,631.0
B0BPD736FH,AMAZON FASHION,1.49,631.0
B07CQYQ47S,AMAZON FASHION,1.49,631.0
B084LJ5ZJ5,AMAZON FASHION,1.49,631.0
B07RF4R1L9,AMAZON FASHION,1.49,631.0
B08428WMHQ,AMAZON FASHION,1.49,631.0
B08F1V3KB9,AMAZON FASHION,1.49,631.0
B07TGTJ3ZS,AMAZON FASHION,1.49,631.0
B009R09Z8W,AMAZON FASHION,1.49,631.0
B091GWBVBS,AMAZON FASHION,1.49,631.0
B0BFDHPMM4,AMAZON FASHION,1.49,631.0
B09CGSB7W2,AMAZON FASHION,1.49,631.0
B08BYD9LRY,AMAZON FASHION,1.49,631.0
B003P8QPIA,AMAZON FASHION,1.49,631.0
B081T4B3PV,AMAZON FASHION,1.49,631.0
B0BX2L81B8,AMAZON FASHION,1.49,631.0
B0B2PC5DNX,AMAZON FASHION,1.49,631.0
B01N3UVHWK,AMAZON FASHION,1.49,631.0
B07PZZJYD9,AMAZON FASHION,1.49,631.0
B085TH6G6M,AMAZON FASHION,1.49,631.0
B089YV34P1,AMAZON FASHION,1.49,631.0
B0018N8FQ4,AMAZON FASHION,1.49,631.0
B014W1KT1M,AMAZON FASHION,1.49,631.0
B002NWBQ88,AMAZON FASHION,1.49,631.0
B01MEGPFCM,AMAZON FASHION,1.49,631.0
B01KC2ZDLQ,AMAZON FASHION,1.49,631.0
B0BL75H87N,AMAZON FASHION,1.49,631.0
B07NQQGS1B,AMAZON FASHION,1.49,631.0
B08B8SRMPV,AMAZON FASHION,1.49,631.0
B0BLS5KY4G,AMAZON FASHION,1.49,631.0
B0BQCV1PK5,AMAZON FASHION,1.49,631.0
B07CQQBJTT,AMAZON FASHION,1.49,631.0
B093T1SMCY,AMAZON FASHION,1.49,631.0
B07SGPGRXD,AMAZON FASHION,1.49,631.0
B07N7J48QN,AMAZON FASHION,1.49,631.0
B0BBV2KNGQ,AMAZON FASHION,1.49,631.0
B07F2PJKQG,AMAZON FASHION,1.49,631.0
B01N1TUL0J,AMAZON FASHION,1.49,631.0
B094LN88SP,AMAZON FASHION,1.49,631.0
B00YOL7NRE,AMAZON FASHION,1.49,631.0
B0BYCZ2W78,AMAZON FASHION,1.49,631.0
B09SP3959B,AMAZON FASHION,1.49,631.0
B07G7XMR9N,AMAZON FASHION,1.49,631.0
B0BV6Q48BP,AMAZON FASHION,1.49,631.0
B09ZQ5GZYY,AMAZON FASHION,1.49,631.0
B0928FSGGD,AMAZON FASHION,1.49,631.0
B0BG8SXMWJ,AMAZON FASHION,1.49,631.0
B08VS142HF,AMAZON FASHION,1.49,631.0
B07C28CWYZ,AMAZON FASHION,1.49,631.0
B0BD3XYV8Y,AMAZON FASHION,1.49,631.0
B0B14FJ5SS,AMAZON FASHION,1.49,631.0
B08JGNS1NK,AMAZON FASHION,1.49,631.0
B081H7WBVR,AMAZON FASHION,1.49,631.0
B0BL6PDR5G,AMAZON FASHION,1.49,631.0
B0B68L6V1X,AMAZON FASHION,1.49,631.0
B09K3BTP9R,AMAZON FASHION,1.49,631.0
B07BR2PG81,AMAZON FASHION,1.49,631.0
B0B1LLT7FQ,AMAZON FASHION,1.49,631.0
B094CK9H5G,AMAZON FASHION,1.49,631.0
B0BVMH5PKB,AMAZON FASHION,1.49,631.0
B0B36V8Z9M,AMAZON FASHION,1.49,631.0
B07FCW972S,AMAZON FASHION,1.49,631.0
B00O972MCO,AMAZON FASHION,1.49,631.0
B085Q77THC,AMAZON FASHION,1.49,631.0
B0BW8CLR8Z,AMAZON FASHION,1.49,631.0
B07DKC5LD7,AMAZON FASHION,1.49,631.0
B0BFRYTF89,AMAZON FASHION,1.49,631.0
B0BW4KF65K,AMAZON FASHION,1.49,631.0
B06W57G8QX,AMAZON FASHION,1.49,631.0
B0721PSD9F,AMAZON FASHION,1.49,631.0
B07VPG5X8K,AMAZON FASHION,1.49,631.0
B07Z452NLW,AMAZON FASHION,1.49,631.0
B08W1YMWX1,AMAZON FASHION,1.49,631.0
B0897CDVMT,AMAZON FASHION,1.49,631.0
B07HKH66TH,AMAZON FASHION,1.49,631.0
B07G52DTVK,AMAZON FASHION,1.49,631.0
B07CQ5J2KT,AMAZON FASHION,1.49,631.0
B09S51CGR6,AMAZON FASHION,1.49,631.0
B0B836DLWM,AMAZON FASHION,1.49,631.0
B07CPMZS5K,AMAZON FASHION,1.49,631.0
B0C37DXZNL,AMAZON FASHION,1.49,631.0
B09CZCJRJY,AMAZON FASHION,1.49,631.0
B09MM1LVTW,AMAZON FASHION,1.49,631.0
B0763GM39W,AMAZON FASHION,1.49,631.0
B0170EMC90,AMAZON FASHION,1.49,631.0
B01LZTJRCY,AMAZON FASHION,1.49,631.0
B0B321M6NZ,AMAZON FASHION,1.49,631.0
B074WFTM3M,AMAZON FASHION,1.49,631.0
B07JK26643,AMAZON FASHION,1.49,631.0
B07K6SS2PQ,AMAZON FASHION,1.49,631.0
B095BSC1N8,AMAZON FASHION,1.49,631.0
B0B786DS95,AMAZON FASHION,1.49,631.0
B09DZ5RTS5,AMAZON FASHION,1.49,631.0
B01N5FS5SJ,AMAZON FASHION,1.49,631.0
B0058ECYUC,AMAZON FASHION,1.49,631.0
B0921XP6S6,AMAZON FASHION,1.49,631.0
B082L42Y88,AMAZON FASHION,1.49,631.0
B07H6X8Y3H,AMAZON FASHION,1.49,631.0
B0184C8Y4Y,AMAZON FASHION,1.49,631.0
B0114EUHGM,AMAZON FASHION,1.49,631.0
B07X9HWGMS,AMAZON FASHION,1.49,631.0
B0B9WJPG6C,AMAZON FASHION,1.49,631.0
B0C7TQ66TZ,AMAZON FASHION,1.49,631.0
B0BS8NSPMK,AMAZON FASHION,1.49,631.0
B07CGR5VVV,AMAZON FASHION,1.49,631.0
B0B9LL8ZXR,AMAZON FASHION,1.49,631.0
B00BPHQZCE,AMAZON FASHION,1.49,631.0
B099F2788R,AMAZON FASHION,1.49,631.0
B0C1NKM232,AMAZON FASHION,1.49,631.0
B087XBMT3X,AMAZON FASHION,1.49,631.0
B08JGGL6S3,AMAZON FASHION,1.49,631.0
B087FWFN3K,AMAZON FASHION,1.49,631.0
B0BBCMKGXR,AMAZON FASHION,1.49,631.0
B07DN7X9FR,AMAZON FASHION,1.49,631.0
B09M7T1P2J,AMAZON FASHION,1.49,631.0
B087GHJ4Y9,AMAZON FASHION,1.49,631.0
B093QP2QBN,AMAZON FASHION,1.49,631.0
B074FGK626,AMAZON FASHION,1.49,631.0
B07H471BHT,AMAZON FASHION,1.49,631.0
B07VR27QSV,AMAZON FASHION,1.49,631.0
B077M56Y3J,AMAZON FASHION,1.49,631.0
B014YZDTJK,AMAZON FASHION,1.49,631.0
B01EYY07IC,AMAZON FASHION,1.49,631.0
B01CFLL3YI,AMAZON FASHION,1.49,631.0
B09F1C14YK,AMAZON FASHION,1.49,631.0
B0094OMPZ6,AMAZON FASHION,1.49,631.0
B09H1215R8,AMAZON FASHION,1.49,631.0
B0BYDMQPMP,AMAZON FASHION,1.49,631.0
B00HRHE21W,AMAZON FASHION,1.49,631.0
B015PCPE80,AMAZON FASHION,1.49,631.0
B0BHS9FMT2,AMAZON FASHION,1.49,631.0
B09JWFWLXY,AMAZON FASHION,1.49,631.0
B00CLKYSIC,AMAZON FASHION,1.49,631.0
B0816R1SPG,AMAZON FASHION,1.49,631.0
B09QFJGKM5,AMAZON FASHION,1.49,631.0
B07F17DPJ6,AMAZON FASHION,1.49,631.0
B0BZRRTDZH,AMAZON FASHION,1.49,631.0
B08C2M4SJB,AMAZON FASHION,1.49,631.0
B084YWRFL2,AMAZON FASHION,1.49,631.0
B075JQ52JH,AMAZON FASHION,1.49,631.0
B07XDKBCXZ,AMAZON FASHION,1.49,631.0
B017T9SMUO,AMAZON FASHION,1.49,631.0
B077Z7QVB1,AMAZON FASHION,1.49,631.0
B09HH43P9G,AMAZON FASHION,1.49,631.0
B07L4J78TD,AMAZON FASHION,1.49,631.0
B07HJV92RB,AMAZON FASHION,1.49,631.0
B013HF67Y2,AMAZON FASHION,1.49,631.0
B07YSYW5TB,AMAZON FASHION,1.49,631.0
B07C64SQNY,AMAZON FASHION,1.49,631.0
B005H2KL2S,AMAZON FASHION,1.49,631.0
B08X4PV58B,AMAZON FASHION,1.49,631.0
B00GOXHJ92,AMAZON FASHION,1.49,631.0
B07FRKMG16,AMAZON FASHION,1.49,631.0
B07BVYHJ6X,AMAZON FASHION,1.49,631.0
B0B881NZT3,AMAZON FASHION,1.49,631.0
B071GMT1HH,AMAZON FASHION,1.49,631.0
B01FGFUVGQ,AMAZON FASHION,1.49,631.0
B06Y29JS1M,AMAZON FASHION,1.49,631.0
B00W9DZWZY,AMAZON FASHION,1.49,631.0
B01625TNE0,AMAZON FASHION,1.49,631.0
B08L1W6K12,AMAZON FASHION,1.49,631.0
B0741GKKNF,AMAZON FASHION,1.49,631.0
B01641V0X4,AMAZON FASHION,1.49,631.0
B07YPYP3B8,AMAZON FASHION,1.49,631.0
B0949Q33GQ,AMAZON FASHION,1.49,631.0
B09BJKJF22,AMAZON FASHION,1.49,631.0
B07S2FQP9K,AMAZON FASHION,1.49,631.0
B07MG4ZX4K,AMAZON FASHION,1.49,631.0
B0713ND61B,AMAZON FASHION,1.49,631.0
B0CCDK26CK,AMAZON FASHION,1.49,631.0
B07141PSHD,AMAZON FASHION,1.49,631.0
B077X8FJLC,AMAZON FASHION,1.49,631.0
B073PXYYRH,AMAZON FASHION,1.49,631.0
B01EVENT9Y,AMAZON FASHION,1.49,631.0
B08B3DHWS4,AMAZON FASHION,1.49,631.0
B01I9XYKOG,AMAZON FASHION,1.49,631.0
B07ZPQDGV6,AMAZON FASHION,1.49,631.0
B07MM1TKKC,AMAZON FASHION,1.49,631.0
B0C7CGGN6L,AMAZON FASHION,1.49,631.0
B0012HA924,AMAZON FASHION,1.49,631.0
B09KKVH82Y,AMAZON FASHION,1.49,631.0
B07MGG9K63,AMAZON FASHION,1.49,631.0
B00QJ35VDI,AMAZON FASHION,1.49,631.0
B076PPNN23,AMAZON FASHION,1.49,631.0
B09RTLQTJD,AMAZON FASHION,1.49,631.0
B0063K9LV0,AMAZON FASHION,1.49,631.0
B09T719P6R,AMAZON FASHION,1.49,631.0
B08KWCD7L7,AMAZON FASHION,1.49,631.0
B07L9CH3XB,AMAZON FASHION,1.49,631.0
B004J1KI0S,AMAZON FASHION,1.49,631.0
B01LXAORPZ,AMAZON FASHION,1.49,631.0
B003LL3TE4,AMAZON FASHION,1.49,631.0
B01J6ZHAKC,AMAZON FASHION,1.49,631.0
B08VDMYTG3,AMAZON FASHION,1.49,631.0
B01AKCKLFG,AMAZON FASHION,1.49,631.0
B07TFJPZKL,AMAZON FASHION,1.49,631.0
B0045REK7I,AMAZON FASHION,1.49,631.0
B07QYQX2SM,AMAZON FASHION,1.49,631.0
B00ENLQ5TC,AMAZON FASHION,1.49,631.0
B07C821BTG,AMAZON FASHION,1.49,631.0
B07DVNJ5Q9,AMAZON FASHION,1.49,631.0
B09TF3LKYR,AMAZON FASHION,1.49,631.0
B07JH3M582,AMAZON FASHION,1.49,631.0
B07FY3BHPW,AMAZON FASHION,1.49,631.0
B00D9Y4F8M,AMAZON FASHION,1.49,631.0
B019HYNQEG,AMAZON FASHION,1.49,631.0
B01FE8BDYO,AMAZON FASHION,1.49,631.0
B07FRK1T48,AMAZON FASHION,1.49,631.0
B0BHX4YGL9,AMAZON FASHION,1.49,631.0
B08R7F1CB3,AMAZON FASHION,1.49,631.0
B0C1ZDHWFW,AMAZON FASHION,1.49,631.0
B08LW53BSW,AMAZON FASHION,1.49,631.0
B093PQXHDN,AMAZON FASHION,1.49,631.0
B07D93JCW1,AMAZON FASHION,1.49,631.0
B08GLB3VQL,AMAZON FASHION,1.49,631.0
B019QL8PEQ,AMAZON FASHION,1.49,631.0
B09D2JHB33,AMAZON FASHION,1.49,631.0
B0BN5NS7YY,AMAZON FASHION,1.49,631.0
B00A7YODRK,AMAZON FASHION,1.49,631.0
B06Y3WR5T2,AMAZON FASHION,1.49,631.0
B01GQM986M,AMAZON FASHION,1.49,631.0
B01N56MK38,AMAZON FASHION,1.49,631.0
B079T2JG52,AMAZON FASHION,1.49,631.0
B07MXT98NJ,AMAZON FASHION,1.49,631.0
B08KDJWXF6,AMAZON FASHION,1.49,631.0
B0BHXTYRTD,AMAZON FASHION,1.49,631.0
B07MH3FW2W,AMAZON FASHION,1.49,631.0
B07GP72763,AMAZON FASHION,1.49,631.0
B07DL13KQV,AMAZON FASHION,1.49,631.0
B0BFR6HRFF,AMAZON FASHION,1.49,631.0
B07BZ91YPV,AMAZON FASHION,1.49,631.0
B017Z15TDE,AMAZON FASHION,1.49,631.0
B07SB2892S,AMAZON FASHION,1.49,631.0
B0BVMLJTFS,AMAZON FASHION,1.49,631.0
B09JBJ1GWK,AMAZON FASHION,1.49,631.0
B0B3DJBN32,AMAZON FASHION,1.49,631.0
B09XXH2PY8,AMAZON FASHION,1.49,631.0
B0767RRMH8,AMAZON FASHION,1.49,631.0
B07BYL4BG4,AMAZON FASHION,1.49,631.0
B07YFYJSZ5,AMAZON FASHION,1.49,631.0
B01530BVH2,AMAZON FASHION,1.49,631.0
B073LQKV4V,AMAZON FASHION,1.49,631.0
B09VM4FZ6W,AMAZON FASHION,1.49,631.0
B07YCGPP4N,AMAZON FASHION,1.49,631.0
B07SH9VWS3,AMAZON FASHION,1.49,631.0
B07LGF7VV3,AMAZON FASHION,1.49,631.0
B07BM9GWG7,AMAZON FASHION,1.49,631.0
B09GCVWHS3,AMAZON FASHION,1.49,631.0
B07Q2XMK2T,AMAZON FASHION,1.49,631.0
B00II63S3O,AMAZON FASHION,1.49,631.0
B07CQ84KLT,AMAZON FASHION,1.49,631.0
B09C1JPJYR,AMAZON FASHION,1.49,631.0
B07GVVNDV1,AMAZON FASHION,1.49,631.0
B0B613N3SD,AMAZON FASHION,1.49,631.0
B09SG5TJC4,AMAZON FASHION,1.49,631.0
B08KSW317T,AMAZON FASHION,1.49,631.0
B09KNNKNGF,AMAZON FASHION,1.49,631.0
B007PMTS86,AMAZON FASHION,1.49,631.0
B074BFVTRN,AMAZON FASHION,1.49,631.0
B0B94LZ6YP,AMAZON FASHION,1.49,631.0
B09YXJHBCY,AMAZON FASHION,1.49,631.0
B07CHTZ1HM,AMAZON FASHION,1.49,631.0
B09FJ2K459,AMAZON FASHION,1.49,631.0
B07CM4C9BD,AMAZON FASHION,1.49,631.0
B01FIFZ0UQ,AMAZON FASHION,1.49,631.0
B08Z45VRK9,AMAZON FASHION,1.49,631.0
B078WP432G,AMAZON FASHION,1.49,631.0
B073GL57M9,AMAZON FASHION,1.49,631.0
B0886B2NJ3,AMAZON FASHION,1.49,631.0
B013JBRLD0,AMAZON FASHION,1.49,631.0
B09FXHJ88D,AMAZON FASHION,1.49,631.0
B0BHW69TX4,AMAZON FASHION,1.49,631.0
B081FC9HXJ,AMAZON FASHION,1.49,631.0
B097BMDMKB,AMAZON FASHION,1.49,631.0
B09PZPWQW2,AMAZON FASHION,1.49,631.0
B0922Z2GNQ,AMAZON FASHION,1.49,631.0
B08154RGS7,AMAZON FASHION,1.49,631.0
B0887RVWXT,AMAZON FASHION,1.49,631.0
B082SMK7L8,AMAZON FASHION,1.49,631.0
B07GXHLTRP,AMAZON FASHION,1.49,631.0
B07ZBMLJSP,AMAZON FASHION,1.49,631.0
B07F1YFZT4,AMAZON FASHION,1.49,631.0
B0BSLQFNWF,AMAZON FASHION,1.49,631.0
B09PJTFZTN,AMAZON FASHION,1.49,631.0
B07LCJDG9Z,AMAZON FASHION,1.49,631.0
B09F6TFWZT,AMAZON FASHION,1.49,631.0
